	BIEO	IOB2
Human	B-virus	B-virus
papilloma	I-virus	I-virus
viruses	E-virus	I-virus
(	O	O
HPV	B-virus	B-virus
)	O	O
,	O	O
members	O	O
papillomaviridae	O	O
family	O	O
,	O	O
infects	O	O
squamous	O	O
epithelial	O	O
cells	O	O
cevix	O	O
,	O	O
lower	O	O
genitalia	O	O
,	O	O
oral	O	O
cavity	O	O
.	O	O
		
The	O	O
association	O	O
HPV	B-virus	B-virus
oropharyngeal	O	O
carcinogenesis	O	O
well	O	O
documented.The	O	O
incidence	O	O
oral	O	O
cancer	O	O
ranks	O	O
second	O	O
Karachi	O	O
South	O	O
genders	O	O
according	O	O
World	O	O
Health	O	O
Organization	O	O
(	O	O
WHO	O	O
)	O	O
statistics	O	O
.	O	O
		
This	O	O
attributed	O	O
popularity	O	O
chewable	O	O
tobacco	O	O
products	O	O
among	O	O
general	O	O
population	O	O
.	O	O
		
Studies	O	O
Gutka-eaters	O	O
set	O	O
population	O	O
Karachi	O	O
showed	O	O
high	O	O
frequency	O	O
HPV	B-virus	B-virus
(	O	O
17	O	O
%	O	O
)	O	O
high	O	O
prevalence	O	O
HPV	B-virus	B-virus
squamous	O	O
cell	O	O
carcinoma	O	O
Pakistani	O	O
patients	O	O
(	O	O
68	O	O
%	O	O
)	O	O
.	O	O
		
The	O	O
exposure	O	O
oral	O	O
mucosa	O	O
chewable	O	O
tobacco	O	O
causes	O	O
abrasions	O	O
making	O	O
susceptible	O	O
HPV	B-virus	B-virus
.	O	O
		
This	O	O
review	O	O
strives	O	O
summarise	O	O
role	O	O
HPV	B-virus	B-virus
chewable	O	O
tobacco-related	O	O
precancerous	O	O
cancerous	O	O
lesions	O	O
.	O	O
		
The	O	O
literature	O	O
decade	O	O
retrieved	O	O
Google	O	O
pubMed	O	O
mentioned	O	O
key	O	O
words	O	O
.	O	O
		
It	O	O
found	O	O
use	O	O
chewable	O	O
tobacco	O	O
products	O	O
,	O	O
especially	O	O
Gutka	O	O
,	O	O
may	O	O
increase	O	O
risk	O	O
oral	O	O
squamous	O	O
cell	O	O
carcinoma	O	O
(	O	O
OSCC	O	O
)	O	O
.	O	O
