	BIEO	IOB2
Epstein-Barr	B-virus	B-virus
virus	E-virus	I-virus
human	B-virus	B-virus
papillomaviruses	E-virus	I-virus
human	B-virus	B-virus
tumor	I-virus	I-virus
viruses	E-virus	I-virus
infect	O	O
replicate	O	O
upper	O	O
aerodigestive	O	O
tract	O	O
epithelia	O	O
cause	O	O
head	O	O
neck	O	O
cancers	O	O
.	O	O
		
The	O	O
productive	O	O
phases	O	O
viruses	B-virus	B-virus
tied	O	O
stratified	O	O
epithelia	O	O
highlighting	O	O
possibility	O	O
viruses	B-virus	B-virus
may	O	O
affect	O	O
's	O	O
life	O	O
cycles	O	O
.	O	O
		
Our	O	O
lab	O	O
established	O	O
vitro	O	O
model	O	O
system	O	O
test	O	O
effects	O	O
EBV	B-virus	B-virus
HPV	B-virus	B-virus
co-infection	O	O
stratified	O	O
squamous	O	O
oral	O	O
epithelial	O	O
cells	O	O
.	O	O
		
Our	O	O
results	O	O
indicate	O	O
HPV	B-virus	B-virus
increases	O	O
maintenance	O	O
EBV	B-virus	B-virus
genome	O	O
co-infected	O	O
cells	O	O
promotes	O	O
lytic	O	O
reactivation	O	O
EBV	B-virus	B-virus
upper	O	O
layers	O	O
stratified	O	O
epithelium	O	O
.	O	O
		
Expression	O	O
HPV	B-virus	B-virus
oncogenes	O	O
E6	O	O
E7	O	O
found	O	O
necessary	O	O
sufficient	O	O
account	O	O
HPV-mediated	B-virus	B-virus
lytic	O	O
reactivation	O	O
EBV	B-virus	B-virus
.	O	O
		
Our	O	O
findings	O	O
indicate	O	O
HPV	B-virus	B-virus
increases	O	O
capacity	O	O
epithelial	O	O
cells	O	O
support	O	O
EBV	B-virus	B-virus
life	O	O
cycle	O	O
,	O	O
could	O	O
turn	O	O
increase	O	O
EBV-mediated	B-virus	B-virus
pathogenesis	O	O
oral	O	O
cavity	O	O
.	O	O
