	BIEO	IOB2
Low-intensity	O	O
ultrasound	O	O
useful	O	O
method	O	O
enhance	O	O
delivery	O	O
drugs	O	O
target	O	O
cells	O	O
via	O	O
range	O	O
mechanisms	O	O
including	O	O
transient	O	O
formation	O	O
micropores	O	O
cell	O	O
membrane	O	O
,	O	O
process	O	O
known	O	O
sonoporation	O	O
.	O	O
		
The	O	O
effect	O	O
ultrasound	O	O
oncolytic	O	O
herpes	B-virus	B-virus
simplex	I-virus	I-virus
virus	I-virus	I-virus
type-1	E-virus	I-virus
(	O	O
HSV-1	B-virus	I-virus
)	O	O
infection	O	O
oral	O	O
squamous	O	O
cell	O	O
carcinoma	O	O
(	O	O
SCC	O	O
)	O	O
examined	O	O
.	O	O
		
Human	O	O
SCC	O	O
cell	O	O
line	O	O
SAS	O	O
oncolytic	O	O
HSV-1	B-virus	B-virus
RH2	O	O
,	O	O
deficient	O	O
neurovirulent	O	O
款134.5	O	O
gene	O	O
exhibited	O	O
cell	O	O
fusion	O	O
actions	O	O
,	O	O
used	O	O
.	O	O
		
Cells	O	O
grown	O	O
multi-well	O	O
plates	O	O
infected	O	O
HSV-1	B-virus	B-virus
exposed	O	O
ultrasound	O	O
presence	O	O
absence	O	O
microbubbles	O	O
adsorption	O	O
period	O	O
.	O	O
		
The	O	O
number	O	O
plaques	O	O
significantly	O	O
greater	O	O
untreated	O	O
control	O	O
.	O	O
		
SAS	O	O
cells	O	O
inoculated	O	O
subcutaneously	O	O
nude	O	O
mice	O	O
tumors	O	O
produced	O	O
.	O	O
		
Tumors	O	O
injected	O	O
HSV-1	B-virus	B-virus
RH2	O	O
without	O	O
microbubbles	O	O
exposed	O	O
ultrasound	O	O
covering	O	O
skin	O	O
.	O	O
		
The	O	O
amount	O	O
virus	B-virus	B-virus
tumor	O	O
tissues	O	O
3	O	O
days	O	O
injection	O	O
higher	O	O
tumors	O	O
treated	O	O
HSV-1	B-virus	B-virus
RH2	O	O
ultrasound	O	O
tumors	O	O
treated	O	O
RH2	O	O
.	O	O
		
The	O	O
expression	O	O
HSV-1	B-virus	B-virus
antigen	O	O
also	O	O
increased	O	O
ultrasound	O	O
microbubbles	O	O
.	O	O
		
Tumor	O	O
growth	O	O
suppressed	O	O
HSV-1	B-virus	B-virus
RH2	O	O
combination	O	O
ultrasound	O	O
,	O	O
especially	O	O
microbubbles	O	O
.	O	O
		
These	O	O
results	O	O
indicated	O	O
ultrasound	O	O
increased	O	O
efficiency	O	O
HSV-1	B-virus	B-virus
infection	O	O
SAS	O	O
cells	O	O
nude	O	O
mouse	O	O
tumors	O	O
.	O	O
		
This	O	O
method	O	O
potentially	O	O
useful	O	O
enhance	O	O
antitumor	O	O
effects	O	O
oncolytic	O	O
HSV-1	B-virus	B-virus
head	O	O
neck	O	O
cancer	O	O
treatment	O	O
.	O	O
