	BIEO	IOB2
We	O	O
developed	O	O
virus	B-virus	B-virus
detection	O	O
discovery	O	O
computational	O	O
pipeline	O	O
,	O	O
Pickaxe	O	O
,	O	O
applied	O	O
NGS	O	O
databases	O	O
provided	O	O
The	O	O
Cancer	O	O
Genome	O	O
Atlas	O	O
(	O	O
TCGA	O	O
)	O	O
.	O	O
		
We	O	O
analyzed	O	O
collection	O	O
whole	O	O
genome	O	O
(	O	O
WGS	O	O
)	O	O
,	O	O
exome	O	O
(	O	O
WXS	O	O
)	O	O
,	O	O
RNA	O	O
(	O	O
RNA-Seq	O	O
)	O	O
sequencing	O	O
libraries	O	O
3052	O	O
participants	O	O
across	O	O
22	O	O
different	O	O
cancers	O	O
.	O	
		
NGS	O	O
data	O	O
nearly	O	O
tumor	O	O
normal	O	O
tissues	O	O
examined	O	O
contained	O	O
contaminating	O	O
viral	O	O
sequences	O	O
.	O	O
		
Intensive	O	O
computational	O	O
manual	O	O
efforts	O	O
required	O	O
remove	O	O
artifacts	O	O
.	O	O
		
We	O	O
found	O	O
several	O	O
different	O	O
types	O	O
cancers	O	O
harbored	O	O
Herpesviruses	O	O
including	O	O
EBV	B-virus	B-virus
,	O	O
CMV	B-virus	B-virus
,	O	O
HHV1	B-virus	B-virus
,	O	O
HHV2	B-virus	B-virus
,	O	O
HHV6	B-virus	B-virus
HHV7	B-virus	B-virus
.	O	O
		
In	O	O
addition	O	O
reported	O	O
associations	O	O
Hepatitis	B-virus	B-virus
B	I-virus	I-virus
C	I-virus	I-virus
virus	E-virus	I-virus
(	O	O
HBV	B-virus	B-virus
&	O	O
HCV	B-virus	B-virus
)	O	O
liver	O	O
cancer	O	O
,	O	O
Human	B-virus	B-virus
papillomaviruses	E-virus	I-virus
(	O	O
HPV	B-virus	B-virus
)	O	O
cervical	O	O
cancer	O	O
subset	O	O
head	O	O
neck	O	O
cancers	O	O
,	O	O
found	O	O
additional	O	O
cases	O	O
HPV	B-virus	B-virus
integrated	O	O
small	O	O
number	O	O
bladder	O	O
cancers	O	O
.	O	O
		
Gene	O	O
expression	O	O
mutational	O	O
profiles	O	O
suggest	O	O
HPV	B-virus	B-virus
drives	O	O
tumorigenesis	O	O
cases	O	O
.	O	O
