	BIEO	IOB2
High	B-virus	B-virus
risk	I-virus	I-virus
human	I-virus	I-virus
papilloma	I-virus	I-virus
virus	E-virus	I-virus
DNA	O	O
detected	O	O
25	O	O
per	O	O
cent	O	O
patients	O	O
(	O	O
three	O	O
12	O	O
)	O	O
laryngeal	O	O
cancer	O	O
.	O	O
		
Low	B-virus	B-virus
risk	I-virus	I-virus
human	I-virus	I-virus
papilloma	I-virus	I-virus
virus	E-virus	I-virus
DNA	O	O
detected	O	O
three	O	O
laryngeal	O	O
papilloma	O	O
patients	O	O
.	O	O
		
The	O	O
mean	O	O
laryngeal	O	O
secretion	O	O
concentrations	O	O
immunoglobulins	O	O
M	O	O
,	O	O
G	O	O
A	O	O
secretory	O	O
immunoglobulin	O	O
A	O	O
human	B-virus	B-virus
papilloma	I-virus	I-virus
virus	E-virus	I-virus
DNA	O	O
positive	O	O
patients	O	O
twice	O	O
human	B-virus	B-virus
papilloma	I-virus	I-virus
virus	E-virus	I-virus
DNA	O	O
negative	O	O
patients	O	O
.	O	O
		
A	O	O
statistically	O	O
significant	O	O
difference	O	O
observed	O	O
secretory	O	O
immunoglobulin	O	O
A	O	O
concentrations	O	O
two	O	O
groups	O	O
.	O	O
		
Patients	O	O
laryngeal	O	O
cancer	O	O
higher	O	O
laryngeal	O	O
secretion	O	O
concentrations	O	O
immunoglobulin	O	O
type	O	O
,	O	O
compared	O	O
patients	O	O
benign	O	O
laryngeal	O	O
disease	O	O
.	O	O
		
The	O	O
study	O	O
assessed	O	O
mean	O	O
laryngeal	O	O
secretion	O	O
concentrations	O	O
immunoglobulin	O	O
type	O	O
12	O	O
laryngeal	O	O
cancer	O	O
patients	O	O
,	O	O
comparing	O	O
human	B-virus	B-virus
papilloma	I-virus	I-virus
virus	E-virus	I-virus
DNA	O	O
positive	O	O
patients	O	O
(	O	O
n	O	O
=	O	O
3	O	O
)	O	O
human	B-virus	B-virus
papilloma	I-virus	I-virus
virus	E-virus	I-virus
DNA	O	O
negative	O	O
patients	O	O
(	O	O
n	O	O
=	O	O
9	O	O
)	O	O
;	O	O
mean	O	O
concentrations	O	O
immunoglobulins	O	O
M	O	O
,	O	O
G	O	O
A	O	O
secretory	O	O
immunoglobulin	O	O
A	O	O
tended	O	O
greater	O	O
human	B-virus	B-virus
papilloma	I-virus	I-virus
virus	E-virus	I-virus
DNA	O	O
positive	O	O
cancer	O	O
patients	O	O
,	O	O
compared	O	O
human	B-virus	B-virus
papilloma	I-virus	I-virus
virus	E-virus	I-virus
DNA	O	O
negative	O	O
cancer	O	O
patients	O	O
.	O	O
