	BIEO	IOB2
High-risk	B-virus	B-virus
human	I-virus	I-virus
papillomaviruses	E-virus	I-virus
(	O	O
HR-HPV	B-virus	B-virus
)	O	O
cause	O	O
ano-genital	O	O
cancers	O	O
fast	O	O
growing	O	O
subset	O	O
oropharyngeal	O	O
cancer	O	O
.	O	O
		
As	O	O
malignancies	O	O
occur	O	O
result	O	O
HPV-	B-virus	B-virus
infection	O	O
transmitted	O	O
intimate	O	O
contact	O	O
,	O	O
many	O	O
patients	O	O
HPV-	B-virus	B-virus
induced	O	O
cancer	O	O
partners	O	O
concerned	O	O
HPV-transmission	B-virus	B-virus
potential	O	O
partners	O	O
'	O	O
cancer	O	O
risk	O	O
.	O	O
		
Few	O	O
studies	O	O
addressed	O	O
issue	O	O
whether	O	O
HPV-related	B-virus	B-virus
cancer	O	O
risk	O	O
partners	O	O
patients	O	O
HPV-related	B-virus	B-virus
cancers	O	O
comparable	O	O
greater	O	O
general	O	O
population	O	O
.	O	O
