	BIEO	IOB2
Registry	O	O
data	O	O
East	O	O
Germany	O	O
used	O	O
determine	O	O
incidence	O	O
trends	O	O
1998	O	O
2011	O	O
.	O	O
		
Data	O	O
patients	O	O
treated	O	O
Charité	O	O
University	O	O
Medicine	O	O
Berlin	O	O
2004	O	O
2013	O	O
(	O	O
cohort	O	O
1	O	O
,	O	O
N=436	O	O
)	O	O
used	O	O
estimation	O	O
trends	O	O
HPV	B-virus	B-virus
prevalence	O	O
,	O	O
smoking	O	O
survival	O	O
.	O	O
		
HPV	B-virus	B-virus
prevalence	O	O
prospectively	O	O
confirmed	O	O
cohort	O	O
2	O	O
(	O	O
N=213	O	O
)	O	O
comprising	O	O
primary	O	O
HNSCC	O	O
cases	O	O
Charité	O	O
2013	O	O
.	O	O
