	BIEO	IOB2
The	O	O
detection	O	O
HBoV	B-virus	B-virus
EBV	B-virus	B-virus
throughout	O	O
year	O	O
samples	O	O
children	O	O
asymptomatic	O	O
chronic	O	O
adenotonsillar	O	O
diseases	O	O
may	O	O
indicate	O	O
viruses	B-virus	B-virus
may	O	O
remain	O	O
persistently	O	O
lymphoepithelial	O	O
tissues	O	O
upper	O	O
respiratory	O	O
tract	O	O
.	O	O
		
Virus	B-virus	B-virus
persistence	O	O
may	O	O
pathogenetic	O	O
potential	O	O
development	O	O
lymphoid	O	O
hypertrophy	O	O
chronic	O	O
stimulatory	O	O
effect	O	O
inflammation	O	O
.	O	O
