	BIEO	IOB2
Human	B-virus	B-virus
papillomaviruses	E-virus	I-virus
(	O	O
HPV	B-virus	B-virus
)	O	O
etiological	O	O
factors	O	O
many	O	O
benign	O	O
malignant	O	O
lesions	O	O
localized	O	O
skin	O	O
mucous	O	O
membranes	O	O
region	O	O
urogenital	O	O
organs	O	O
head	O	O
neck	O	O
.	O	O
		
Currently	O	O
,	O	O
assays	O	O
detection	O	O
HPV	B-virus	B-virus
based	O	O
detecting	O	O
presence	O	O
viral	O	O
nucleic	O	O
acids	O	O
,	O	O
mostly	O	O
viral	O	O
DNA	O	O
.	O	O
		
These	O	O
molecular	O	O
techniques	O	O
divided	O	O
:	O	O
1	O	O
)	O	O
methods	O	O
based	O	O
targeted	O	O
,	O	O
selective	O	O
amplification	O	O
nucleic	O	O
acids	O	O
,	O	O
2	O	O
)	O	O
signal	O	O
amplification	O	O
methods	O	O
,	O	O
3	O	O
)	O	O
nucleic	O	O
acid	O	O
hybridization	O	O
assays	O	O
.	O	O
		
This	O	O
paper	O	O
presents	O	O
explains	O	O
number	O	O
different	O	O
HPV	B-virus	B-virus
detection	O	O
methods	O	O
provides	O	O
examples	O	O
commonly	O	O
available	O	O
commercial	O	O
tests	O	O
.	O	O
