	BIEO	IOB2
Inverted	O	O
papillomas	O	O
benign	O	O
sinonasal	O	O
tumor	O	O
propensity	O	O
recurrence	O	O
malignant	O	O
transformation	O	O
.	O	O
		
Although	O	O
many	O	O
investigations	O	O
made	O	O
nature	O	O
disease	O	O
,	O	O
etiology	O	O
causes	O	O
malignant	O	O
transformation	O	O
yet	O	O
fully	O	O
elucidated	O	O
.	O	O
		
It	O	O
authors	O	O
'	O	O
objective	O	O
present	O	O
review	O	O
management	O	O
disease	O	O
evaluate	O	O
present	O	O
relationship	O	O
human	B-virus	B-virus
papilloma	I-virus	I-virus
virus	E-virus	I-virus
(	O	O
HPV	B-virus	B-virus
)	O	O
inverted	O	O
papilloma	O	O
.	O	O
