	BIEO	IOB2
Oncolytic	B-virus	B-virus
viruses	E-virus	I-virus
(	O	O
OV	B-virus	B-virus
)	O	O
preferentially	O	O
kill	O	O
cancer	O	O
cells	O	O
due	O	O
part	O	O
defects	O	O
antiviral	O	O
responses	O	O
upon	O	O
exposure	O	O
type	O	O
I	O	O
interferons	O	O
(	O	O
IFNs	O	O
)	O	O
.	O	O
		
However	O	O
,	O	O
IFN	O	O
responsiveness	O	O
tumor	O	O
cells	O	O
confers	O	O
resistance	O	O
OV	B-virus	B-virus
treatment	O	O
.	O	O
		
The	O	O
human	O	O
type	O	O
I	O	O
IFNs	O	O
include	O	O
one	O	O
IFN-尾	O	O
multiple	O	O
IFN-伪	O	O
subtypes	O	O
share	O	O
receptor	O	O
capable	O	O
differentially	O	O
inducing	O	O
biological	O	O
responses	O	O
.	O	O
		
The	O	O
role	O	O
individual	O	O
IFN	O	O
subtypes	O	O
promoting	O	O
tumor	O	O
cell	O	O
resistance	O	O
OV	B-virus	B-virus
addressed	O	O
.	O	O
		
Two	O	O
human	O	O
IFNs	O	O
produced	O	O
clinical	O	O
use	O	O
,	O	O
IFN-伪2a	O	O
IFN-尾	O	O
,	O	O
compared	O	O
activity	O	O
protecting	O	O
human	O	O
head	O	O
neck	O	O
squamous	O	O
cell	O	O
carcinoma	O	O
(	O	O
HNSCC	O	O
)	O	O
lines	O	O
oncolysis	B-virus	B-virus
vesicular	I-virus	I-virus
stomatitis	I-virus	I-virus
virus	E-virus	I-virus
(	O	O
VSV	B-virus	B-virus
)	O	O
.	O	O
		
Susceptibility	O	O
HNSCC	O	O
lines	O	O
killing	O	O
VSV	B-virus	B-virus
varied	O	O
.	O	O
		
VSV	B-virus	B-virus
infection	O	O
induced	O	O
increased	O	O
production	O	O
IFN-尾	O	O
resistant	O	O
HNSCC	O	O
cells	O	O
.	O	O
		
When	O	O
added	O	O
exogenously	O	O
,	O	O
IFN-尾	O	O
significantly	O	O
effective	O	O
protecting	O	O
HNSCC	O	O
cells	O	O
VSV	B-virus	B-virus
oncolysis	O	O
IFN-伪2a	O	O
.	O	O
		
In	O	O
contrast	O	O
,	O	O
normal	O	O
keratinocytes	O	O
endothelial	O	O
cells	O	O
protected	O	O
equivalently	O	O
IFN	O	O
subtypes	O	O
.	O	O
		
Differential	O	O
responsiveness	O	O
tumor	O	O
cells	O	O
IFN-伪	O	O
#NAME?	O	O
supported	O	O
finding	O	O
autocrine	O	O
IFN-尾	O	O
IFN-伪	O	O
promoted	O	O
survival	O	O
HNSCC	O	O
cells	O	O
persistent	O	O
VSV	B-virus	B-virus
infection	O	O
.	O	O
		
Therefore	O	O
,	O	O
IFN-伪	O	O
#NAME?	O	O
differentially	O	O
affect	O	O
VSV	B-virus	B-virus
oncolysis	O	O
,	O	O
justifying	O	O
evaluation	O	O
comparison	O	O
IFN	O	O
subtypes	O	O
use	O	O
combination	O	O
VSV	B-virus	B-virus
therapy	O	O
.	O	O
		
Pairing	O	O
VSV	B-virus	B-virus
IFN-伪2a	O	O
may	O	O
enhance	O	O
selectivity	O	O
oncolytic	O	O
VSV	B-virus	B-virus
therapy	O	O
HNSCC	O	O
inhibiting	O	O
VSV	B-virus	B-virus
replication	O	O
normal	O	O
cells	O	O
without	O	O
corresponding	O	O
inhibition	O	O
cancer	O	O
cells	O	O
.	O	O
