	BIEO	IOB2
Recent	O	O
studies	O	O
showed	O	O
human	B-virus	B-virus
papillomavirus	E-virus	I-virus
(	O	O
HPV	B-virus	B-virus
)	O	O
integration	O	O
contributes	O	O
genomic	O	O
instability	O	O
seen	O	O
HPV-associated	B-virus	B-virus
head	O	O
neck	O	O
squamous	O	O
cell	O	O
carcinoma	O	O
(	O	O
HPV-HNSCC	B-virus	B-virus
)	O	O
.	O	O
		
However	O	O
,	O	O
epigenetic	O	O
alterations	O	O
induced	O	O
HPV	B-virus	B-virus
integration	O	O
remains	O	O
unclear	O	O
.	O	O
		
To	O	O
identify	O	O
molecular	O	O
details	O	O
HPV16	B-virus	B-virus
DNA	O	O
integration	O	O
ensuing	O	O
patterns	O	O
methylation	O	O
HNSCC	O	O
,	O	O
performed	O	O
next-generation	O	O
sequencing	O	O
using	O	O
target-enrichment	O	O
method	O	O
effective	O	O
identification	O	O
HPV16	B-virus	B-virus
integration	O	O
breakpoints	O	O
well	O	O
characterization	O	O
genomic	O	O
sequences	O	O
adjacent	O	O
HPV16	B-virus	B-virus
integration	O	O
breakpoints	O	O
three	O	O
HPV16-related	B-virus	B-virus
HNSCC	O	O
cell	O	O
lines	O	O
.	O	O
		
The	O	O
DNA	O	O
methylation	O	O
levels	O	O
integrated	O	O
HPV16	B-virus	B-virus
genome	O	O
adjacent	O	O
human	O	O
genome	O	O
also	O	O
analyzed	O	O
bisulfite	O	O
pyrosequencing	O	O
.	O	O
		
We	O	O
found	O	O
various	O	O
integration	O	O
loci	O	O
,	O	O
including	O	O
novel	O	O
integration	O	O
sites	O	O
.	O	O
		
Integration	O	O
loci	O	O
located	O	O
predominantly	O	O
intergenic	O	O
region	O	O
,	O	O
significant	O	O
enrichment	O	O
microhomologous	O	O
sequences	O	O
human	O	O
HPV16	B-virus	B-virus
genomes	O	O
integration	O	O
breakpoints	O	O
.	O	O
		
Furthermore	O	O
,	O	O
various	O	O
levels	O	O
methylation	O	O
within	O	O
human	O	O
genome	O	O
integrated	O	O
HPV	B-virus	B-virus
genome	O	O
integration	O	O
breakpoints	O	O
integrant	O	O
observed	O	O
.	O	O
		
Allele-specific	O	O
methylation	O	O
analysis	O	O
suggested	O	O
HPV16	B-virus	B-virus
integrants	O	O
remained	O	O
hypomethylated	O	O
flanking	O	O
host	O	O
genome	O	O
hypomethylated	O	O
.	O	O
		
After	O	O
integration	O	O
highly	O	O
methylated	O	O
human	O	O
genome	O	O
regions	O	O
,	O	O
however	O	O
,	O	O
HPV16	B-virus	B-virus
DNA	O	O
became	O	O
methylated	O	O
.	O	O
		
In	O	O
conclusion	O	O
,	O	O
found	O	O
novel	O	O
integration	O	O
sites	O	O
methylation	O	O
patterns	O	O
HPV-HNSCC	B-virus	B-virus
using	O	O
unique	O	O
method	O	O
.	O	O
		
These	O	O
findings	O	O
may	O	O
provide	O	O
insights	O	O
understanding	O	O
viral	O	O
integration	O	O
mechanism	O	O
virus-associated	O	O
carcinogenesis	O	O
HPV-HNSCC	B-virus	B-virus
.	O	O
