	BIEO	IOB2
Epstein	B-virus	B-virus
Barr	I-virus	I-virus
virus	E-virus	I-virus
(	O	O
EBV	B-virus	B-virus
)	O	O
#NAME?	O	O
lymphoproliferative	O	O
processes	O	O
occur	O	O
head	O	O
neck	O	O
ranging	O	O
reactive	O	O
processes	O	O
infectious	O	O
mononucleosis	O	O
high	O	O
grade	O	O
malignant	O	O
lymphomas	O	O
.	O	O
		
EBV	B-virus	B-virus
ubiquitous	O	O
herpes	O	O
virus	B-virus	B-virus
infects	O	O
90	O	O
%	O	O
adults	O	O
worldwide	O	O
,	O	O
generally	O	O
transferred	O	O
though	O	O
saliva	O	O
.	O	O
		
Primary	O	O
infection	O	O
occur	O	O
throughout	O	O
life	O	O
.	O	O
		
EBV	B-virus	B-virus
first	O	O
virus	B-virus	B-virus
linked	O	O
malignancies	O	O
,	O	O
epithelial	O	O
lymphoid	O	O
.	O	O
		
Both	O	O
T	O	O
B	O	O
cell	O	O
lymphomas	O	O
associated	O	O
EBV	B-virus	B-virus
evidence	O	O
shows	O	O
individual	O	O
's	O	O
response	O	O
acute	O	O
EBV	B-virus	B-virus
infection	O	O
may	O	O
critical	O	O
development	O	O
subsequent	O	O
lymphoma	O	O
.	O	O
		
Currently	O	O
,	O	O
situ	O	O
hybridization	O	O
EBER	O	O
sensitive	O	O
available	O	O
test	O	O
detect	O	O
EBV	B-virus	B-virus
routinely	O	O
performed	O	O
lymphoproliferative	O	O
lesions	O	O
head	O	O
neck	O	O
.	O	O
		
Immunohistochemistry	O	O
EBV	B-virus	B-virus
related	O	O
proteins	O	O
,	O	O
LMP1	O	O
,	O	O
much	O	O
less	O	O
sensitive	O	O
EBER	O	O
situ	O	O
hybridization	O	O
,	O	O
help	O	O
determine	O	O
latency	O	O
patterns	O	O
EBV	B-virus	B-virus
infection	O	O
.	O	O
		
Although	O	O
relatively	O	O
rare	O	O
,	O	O
primary	O	O
EBV-related	B-virus	B-virus
lymphomas	O	O
must	O	O
considered	O	O
differential	O	O
atypical	O	O
lymphoid	O	O
proliferations		O
head	O	O
neck	O	O
.	O	O
		
We	O	O
present	O	O
selected	O	O
EBV-related	B-virus	B-virus
disorders	O	O
head	O	O
neck	O	O
discussing	O	O
etiology	O	O
well	O	O
differential	O	O
diagnosis	O	O
.	O	O
