	BIEO	IOB2
In	O	O
present	O	O
study	O	O
,	O	O
comprehensively	O	O
analyzed	O	O
prevalence	O	O
transcriptionally	O	O
active	O	O
human	B-virus	B-virus
papilloma	I-virus	I-virus
virus	E-virus	I-virus
(	O	O
HPV	B-virus	B-virus
)	O	O
tissue	O	O
samples	O	O
Indian	O	O
patients	O	O
leukoplakia	O	O
,	O	O
predominantly	O	O
hyperplastic	O	O
lesions	O	O
head	O	O
neck	O	O
squamous	O	O
cell	O	O
carcinoma	O	O
(	O	O
HNSCC	O	O
)	O	O
.	O	O
		
In	O	O
addition	O	O
,	O	O
saliva	O	O
samples	O	O
patients	O	O
HNSCC	O	O
screened	O	O
HPV	B-virus	B-virus
detection	O	O
.	O	O
