	BIEO	IOB2
The	O	O
characterization	O	O
analyses	O	O
revealed	O	O
typical	O	O
epithelial	O	O
morphology	O	O
;	O	O
doubling	O	O
time	O	O
approximately	O	O
24	O	O
hours	O	O
,	O	O
high	O	O
tumorigenicity	O	O
immunodeficient	O	O
mice	O	O
,	O	O
upregulated	O	O
biomarkers	O	O
.	O	O
		
CMCSCC-1	O	O
cells	O	O
negative	O	O
human	B-virus	B-virus
papillomavirus	E-virus	I-virus
(	O	O
HPV	B-virus	B-virus
)	O	O
infection	O	O
,	O	O
sensitive	O	O
radiation	O	O
compared	O	O
FaDu	O	O
cell	O	O
lines	O	O
.	O	O
