	BIEO	IOB2
Neck	O	O
metastasis	O	O
unknown	O	O
primary	O	O
squamous	O	O
cell	O	O
carcinoma	O	O
could	O	O
another	O	O
virus-related	O	O
malignancy	O	O
head	O	O
neck	O	O
region	O	O
,	O	O
along	O	O
nasopharyngeal	O	O
oropharyngeal	O	O
carcinoma	O	O
.	O	O
		
An	O	O
evaluation	O	O
impact	O	O
viral	O	O
infection	O	O
patient	O	O
prognosis	O	O
sensitivities	O	O
different	O	O
treatment	O	O
modalities	O	O
could	O	O
modify	O	O
prognostic	O	O
assessments	O	O
treatment	O	O
planning	O	O
.	O	O
		
Furthermore	O	O
,	O	O
virus	B-virus	B-virus
detection	O	O
would	O	O
decisive	O	O
impact	O	O
diagnostic/decisional	O	O
algorithms	O	O
,	O	O
especially	O	O
detection	O	O
methods	O	O
implemented	O	O
cytologic	O	O
samples	O	O
(	O	O
e.g.	O	O
,	O	O
thin	O	O
prep	O	O
)	O	O
.	O	O
