	BIEO	IOB2
Subclinical	O	O
oral	O	O
human	B-virus	B-virus
papillomavirus	E-virus	I-virus
(	O	O
HPV	B-virus	B-virus
)	O	O
infection	O	O
persists	O	O
decades	O	O
likely	O	O
precede	O	O
HPV-driven	B-virus	B-virus
squamous	O	O
cell	O	O
carcinoma	O	O
head	O	O
neck	O	O
,	O	O
little	O	O
known	O	O
natural	O	O
history	O	O
oral	O	O
HPV	B-virus	B-virus
.	O	O
		
We	O	O
systematically	O	O
reviewed	O	O
abstracted	O	O
data	O	O
nine	O	O
manuscripts	O	O
examined	O	O
human	O	O
immunodeficiency	O	O
virus-negative	O	O
cancer-free	O	O
subjects	O	O
oral	O	O
HPV	B-virus	B-virus
DNA	O	O
determine	O	O
pooled	O	O
baseline	O	O
prevalence	O	O
incidence	O	O
newly	O	O
acquired	O	O
oral	O	O
HPV	B-virus	B-virus
infections	O	O
,	O	O
specifically	O	O
HPV-16	B-virus	B-virus
.	O	O
		
We	O	O
also	O	O
documented	O	O
clearance	O	O
rate	O	O
median	O	O
time	O	O
clearance	O	O
,	O	O
data	O	O
existed	O	O
.	O	O
		
Of	O	O
3762	O	O
individuals	O	O
,	O	O
7.5	O	O
%	O	O
oral	O	O
infection	O	O
HPV	B-virus	B-virus
type	O	O
(	O	O
1.6	O	O
%	O	O
HPV-16	B-virus	B-virus
)	O	O
.	O	O
		
Meta-regression	O	O
analysis	O	O
estimated	O	O
12-month	O	O
cumulative	O	O
incidence	O	O
4.8	O	O
%	O	O
(	O	O
95	O	O
%	O	O
confidence	O	O
interval	O	O
3.2-7.3	O	O
%	O	O
)	O	O
.	O	O
		
The	O	O
overall	O	O
oral	O	O
HPV	B-virus	B-virus
clearance	O	O
reported	O	O
0-80	O	O
%	O	O
studies	O	O
,	O	O
median	O	O
time	O	O
clearance	O	O
6.5	O	O
18	O	O
months	O	O
.	O	O
		
Oral	O	O
HPV-16	B-virus	B-virus
clearance	O	O
43-83	O	O
%	O	O
,	O	O
median	O	O
time	O	O
clearance	O	O
HPV-16	B-virus	B-virus
7月22日	O	O
months	O	O
.	O	O
		
Oral	O	O
HPV	B-virus	B-virus
prevalence	O	O
,	O	O
incidence	O	O
clearance	O	O
vary	O	O
considerably	O	O
published	O	O
studies	O	O
different	O	O
geographical	O	O
regions	O	O
.	O	O
		
Further	O	O
research	O	O
required	O	O
identify	O	O
predictors	O	O
persistent	O	O
oral	O	O
HPV	B-virus	B-virus
infection	O	O
.	O	O
		
Measurable	O	O
baseline	O	O
prevalence	O	O
observed	O	O
studies	O	O
,	O	O
well	O	O
non-trivial	O	O
incidence	O	O
newly	O	O
acquired	O	O
oral	O	O
HPV	B-virus	B-virus
infections	O	O
incomplete	O	O
clearance	O	O
.	O	O
