	BIEO	IOB2
In	O	O
recent	O	O
years	O	O
well	O	O
established	O	O
two	O	O
major	O	O
constituent	O	O
parts	O	O
ubiquitin	O	O
proteasome	O	O
system	O	O
(	O	O
UPS	O	O
)	O	O
#NAME?	O	O
proteasome	O	O
holoenzymes	O	O
number	O	O
ubiquitin	O	O
ligases-play	O	O
crucial	O	O
role	O	O
,	O	O
virus	B-virus	B-virus
replication	O	O
also	O	O
regulation	O	O
immunogenicity	O	O
human	B-virus	B-virus
immunodeficiency	I-virus	I-virus
virus	E-virus	I-virus
type	O	O
1	O	O
(	O	O
HIV-1	B-virus	B-virus
)	O	O
.	O	O
		
However	O	O
,	O	O
role	O	O
HIV-1	B-virus	B-virus
replication	O	O
third	O	O
major	O	O
component	O	O
,	O	O
deubiquitinating	O	O
enzymes	O	O
(	O	O
DUBs	O	O
)	O	O
,	O	O
remained	O	O
largely	O	O
unknown	O	O
.	O	O
		
In	O	O
study	O	O
,	O	O
show	O	O
DUB-inhibitors	O	O
(	O	O
DIs	O	O
)	O	O
P22077	O	O
PR-619	O	O
,	O	O
specific	O	O
DUBs	O	O
USP7	O	O
USP47	O	O
,	O	O
impair	O	O
Gag	O	O
processing	O	O
thereby	O	O
reduce	O	O
infectivity	O	O
released	O	O
virions	O	O
without	O	O
affecting	O	O
viral	O	O
protease	O	O
activity	O	O
.	O	O
		
Furthermore	O	O
,	O	O
replication	O	O
capacity	O	O
X4-	O	O
R5-tropic	O	O
HIV-1	B-virus	B-virus
