	BIEO	IOB2
Oncogenic	B-virus	B-virus
human	I-virus	I-virus
papillomaviruses	E-virus	I-virus
(	O	O
HPVs	B-virus	B-virus
)	O	O
closely	O	O
linked	O	O
major	O	O
human	O	O
malignancies	O	O
,	O	O
including	O	O
cervical	O	O
head	O	O
neck	O	O
cancers	O	O
.	O	O
		
It	O	O
widely	O	O
assumed	O	O
HPV-positive	B-virus	B-virus
cancer	O	O
cells	O	O
selection	O	O
pressure	O	O
continuously	O	O
express	O	O
viral	O	O
E6/E7	O	O
oncogenes	O	O
,	O	O
intracellular	O	O
p53	O	O
levels	O	O
reconstituted	O	O
E6/E7	O	O
repression	O	O
,	O	O
E6/E7	O	O
inhibition	O	O
phenotypically	O	O
results	O	O
cellular	O	O
senescence	O	O
.	O	O
		
Here	O	O
show	O	O
hypoxic	O	O
conditions	O	O
,	O	O
often	O	O
found	O	O
subregions	O	O
cervical	O	O
head	O	O
neck	O	O
cancers	O	O
,	O	O
enable	O	O
HPV-positive	B-virus	B-virus
cancer	O	O
cells	O	O
escape	O	O
regulatory	O	O
principles	O	O
:	O	O
E6/E7	O	O
efficiently	O	O
repressed	O	O
,	O	O
yet	O	O
,	O	O
p53	O	O
levels	O	O
increase	O	O
.	O	O
		
Moreover	O	O
,	O	O
E6/E7	O	O
repression	O	O
hypoxia	O	O
result	O	O
cellular	O	O
senescence	O	O
,	O	O
owing	O	O
hypoxia-associated	O	O
impaired	O	O
mechanistic	O	O
target	O	O
rapamycin	O	O
(	O	O
mTOR	O	O
)	O	O
signaling	O	O
via	O	O
inhibitory	O	O
REDD1/TSC2	O	O
axis	O	O
.	O	O
		
Instead	O	O
,	O	O
reversible	O	O
growth	O	O
arrest	O	O
induced	O	O
overcome	O	O
reoxygenation	O	O
.	O	O
		
Impairment	O	O
mTOR	O	O
signaling	O	O
also	O	O
interfered	O	O
senescence	O	O
response	O	O
hypoxic	O	O
HPV-positive	B-virus	B-virus
cancer	O	O
cells	O	O
toward	O	O
prosenescent	O	O
chemotherapy	O	O
vitro	O	O
.	O	O
		
Collectively	O	O
,	O	O
findings	O	O
indicate	O	O
hypoxic	O	O
HPV-positive	B-virus	B-virus
cancer	O	O
cells	O	O
induce	O	O
reversible	O	O
state	O	O
dormancy	O	O
,	O	O
decreased	O	O
viral	O	O
antigen	O	O
synthesis	O	O
increased	O	O
therapeutic	O	O
resistance	O	O
,	O	O
may	O	O
serve	O	O
reservoirs	O	O
tumor	O	O
recurrence	O	O
reoxygenation	O	O
.	O	O
