	BIEO	IOB2
One	O	O
hundred	O	O
ninety	O	O
six	O	O
archival	O	O
HNSCC	O	O
tissue	O	O
samples	O	O
analysed	O	O
presence	O	O
HPV	B-virus	B-virus
DNA	O	O
.	O	O
		
The	O	O
DNA	O	O
quality	O	O
assured	O	O
,	O	O
amplified	O	O
using	O	O
nested	O	O
PCR	O	O
approach	O	O
.	O	O
		
The	O	O
typing	O	O
HPV	B-virus	B-virus
performed	O	O
automated	O	O
DNA	O	O
sequencing	O	O
.	O	O
		
Cellular	O	O
markers	O	O
p53	O	O
,	O	O
Cyclin	O	O
D1	O	O
pRb	O	O
tested	O	O
samples	O	O
immunohistochemistry	O	O
(	O	O
IHC	O	O
)	O	O
,	O	O
well	O	O
p16	O	O
putative	O	O
surrogate	O	O
detection	O	O
HPV	B-virus	B-virus
.	O	O
