	BIEO	IOB2
This	O	O
retrospective	O	O
study	O	O
,	O	O
clinical	O	O
data	O	O
collected	O	O
82	O	O
patients	O	O
.	O	O
		
Human	B-virus	B-virus
papilomavirus	E-virus	I-virus
detection	O	O
conducted	O	O
specimens	O	O
oral	O	O
cavity	O	O
oropharynx	O	O
carcinomas	O	O
included	O	O
paraffin	O	O
blocks	O	O
.	O	O
		
Patients	O	O
assisted	O	O
cancer	O	O
reference	O	O
center	O	O
,	O	O
central	O	O
region	O	O
Brazil	O	O
,	O	O
2005	O	O
2007	O	O
.	O	O
		
Polymerase	O	O
chain	O	O
reaction	O	O
used	O	O
detection	O	O
genotyping	O	O
human	B-virus	B-virus
papilomavirus	E-virus	I-virus
.	O	O
