	BIEO	IOB2
All	O	O
HPV-positive	B-virus	B-virus
cell	O	O
lines	O	O
expressed	O	O
alternate	O	O
HPVE6/E7	B-virus	B-virus
splicing	O	O
indicative	O	O
active	O	O
viral	O	O
oncogenesis	O	O
.	O	O
		
HPV	B-virus	B-virus
integration	O	O
occurred	O	O
within	O	O
cancer-related	O	O
genes	O	O
TP63	O	O
,	O	O
DCC	O	O
,	O	O
JAK1	O	O
,	O	O
TERT	O	O
,	O	O
ATR	O	O
,	O	O
ETV6	O	O
,	O	O
PGR	O	O
,	O	O
PTPRN2	O	O
,	O	O
TMEM237	O	O
8	O	O
head	O	O
neck	O	O
squamous	O	O
cell	O	O
carcinoma	O	O
(	O	O
HNSCC	O	O
)	O	O
lines	O	O
UM-SCC-105	O	O
UM-GCC-1	O	O
intergenic	O	O
integration	O	O
.	O	O
