	BIEO	IOB2
The	O	O
clinical	O	O
presentation	O	O
,	O	O
treatment	O	O
,	O	O
response	O	O
patient	O	O
EBVMCU	B-virus	B-virus
base	O	O
tongue	O	O
presented	O	O
.	O	O
		
Interim	O	O
follow-up	O	O
patient	O	O
revealed	O	O
complete	O	O
remission	O	O
discontinuation	O	O
immunosuppression	O	O
rituximab	O	O
therapy	O	O
.	O	O
		
A	O	O
review	O	O
literature	O	O
supports	O	O
conservative	O	O
management	O	O
reduction	O	O
immunosuppression	O	O
.	O	O
		
Overall	O	O
,	O	O
96.6	O	O
%	O	O
patients	O	O
follow-up	O	O
greater	O	O
2	O	O
months	O	O
achieved	O	O
complete	O	O
remission	O	O
conservative	O	O
management	O	O
.	O	O
		
The	O	O
current	O	O
study	O	O
largest	O	O
series	O	O
report	O	O
clinical	O	O
presentation	O	O
treatment	O	O
outcomes	O	O
EBVMCU	B-virus	O
head	O	O
neck	O	O
.	O	O
