	BIEO	IOB2
Human	B-virus	B-virus
papilloma	I-virus	I-virus
viruses	E-virus	I-virus
(	O	O
HPVs	B-virus	B-virus
)	O	O
group	O	O
double-stranded	O	O
DNA	O	O
viruses	B-virus	B-virus
known	O	O
primary	O	O
cause	O	O
cervical	O	O
cancer	O	O
.	O	O
		
In	O	O
addition	O	O
,	O	O
evidence	O	O
established	O	O
role	O	O
non-melanoma	O	O
skin	O	O
cancers	O	O
,	O	O
head	O	O
neck	O	O
cancer	O	O
(	O	O
HNC	O	O
)	O	O
,	O	O
development	O	O
anogenital	O	O
malignancies	O	O
.	O	O
		
The	O	O
prevalence	O	O
HPV-related	B-virus	B-virus
HNC	O	O
,	O	O
particular	O	O
oropharyngeal	O	O
cancers	O	O
,	O	O
rapidly	O	O
increasing	O	O
,	O	O
foreseeing	O	O
HPV-positive	B-virus	B-virus
oropharyngeal	O	O
cancers	O	O
outnumber	O	O
uterine	O	O
cervical	O	O
cancers	O	O
next	O	O
15鈦20	O	O
years	O	O
.	O	O
		
Therefore	O	O
,	O	O
despite	O	O
successful	O	O
advent	O	O
vaccines	O	O
originally	O	O
licensed	O	O
cervical	O	O
cancer	O	O
prevention	O	O
,	O	O
HPV	B-virus	B-virus
burden	O	O
still	O	O
high	O	O
,	O	O
better	O	O
understanding	O	O
HPV	B-virus	B-virus
biology	O	O
urgently	O	O
needed	O	O
.	O	O
		
Autophagy	O	O
physiological	O	O
cellular	O	O
route	O	O
accounts	O	O
removal	O	O
,	O	O
degradation	O	O
,	O	O
recycling	O	O
damaged	O	O
organelles	O	O
,	O	O
proteins	O	O
,	O	O
lipids	O	O
lysosomal	O	O
vacuoles	O	O
.	O	O
		
In	O	O
addition	O	O
scavenger	O	O
function	O	O
,	O	O
autophagy	O	O
plays	O	O
fundamental	O	O
role	O	O
viral	O	O
infections	O	O
cancers	O	O
,	O	O
therefore	O	O
,	O	O
frequently	O	O
exploited	O	O
viruses	O	O
benefit	O	O
.	O	O
		
Recently	O	O
,	O	O
link	O	O
HPV	B-virus	B-virus
autophagy	O	O
clearly	O	O
emerged	O	O
,	O	O
leading	O	O
conceivable	O	O
development	O	O
novel	O	O
anti-viral	O	O
strategies	O	O
aimed	O	O
restraining	O	O
HPV	B-virus	B-virus
infectivity	O	O
.	O	O
		
Here	O	O
,	O	O
recent	O	O
findings	O	O
oncogenic	O	O
HPV16	B-virus	B-virus
usurp	O	O
autophagy	O	O
described	O	O
,	O	O
highlighting	O	O
similarities	O	O
differences	O	O
mechanisms	O	O
adopted	O	O
oncoviruses	B-virus	B-virus
.	O	O
