	BIEO	IOB2
HPV	B-virus	B-virus
prevalence	O	O
tumors	O	O
21.74	O	O
%	O	O
(	O	O
n=10	O	O
)	O	O
common	O	O
viral	O	O
type	O	O
HPV-16	B-virus	B-virus
(	O	O
nine	O	O
cases	O	O
)	O	O
.	O	O
		
Viral	O	O
expression	O	O
HPV-16	B-virus	B-virus
low	O	O
(	O	O
one	O	O
11	O	O
copies	O	O
)	O	O
predominant	O	O
physical	O	O
state	O	O
virus	B-virus	B-virus
mixed	O	O
(	O	O
eight	O	O
cases	O	O
)	O	O
,	O	O
disruption	O	O
observed	O	O
E1	O	O
-	O	O
E2	O	O
binding	O	O
site	O	O
(	O	O
2525	O	O
-	O	O
3720	O	O
nucleotides	O	O
)	O	O
.	O	O
