	BIEO	IOB2
Patients	O	O
human	B-virus	B-virus
papillomavirus	E-virus	I-virus
(	O	O
HPV	B-virus	B-virus
)	O	O
#NAME?	O	O
head	O	O
neck	O	O
cancer	O	O
(	O	O
HNC	O	O
)	O	O
better	O	O
prognosis	O	O
relative	O	O
types	O	O
HNC	O	O
,	O	O
making	O	O
survivorship		O
emerging	O	O
critical	O	O
issue	O	O
.	O	O
		
Exercise	O	O
core	O	O
component	O	O
survivorship	O	O
care	O	O
,	O	O
little	O	O
known	O	O
many	O	O
survivors	O	O
HPV-related	B-virus	B-virus
HNC	O	O
safely	O	O
advised	O	O
start	O	O
exercising	O	O
,	O	O
opposed	O	O
needing	O	O
evaluation	O	O
supervised	O	O
exercise	O	O
.	O	O
