	BIEO	IOB2
The	O	O
identified	O	O
gene	O	O
set	O	O
distinguishing	O	O
head	O	O
neck	O	O
cancer	O	O
head	O	O
neck	O	O
normal	O	O
,	O	O
accurately	O	O
discriminate	O	O
HPV	B-virus	B-virus
specific	O	O
patients	O	O
head	O	O
neck	O	O
cancer	O	O
head	O	O
neck	O	O
normal	O	O
group	O	O
.	O	O
		
Also	O	O
,	O	O
demonstrated	O	O
HPV-positive	B-virus	B-virus
(	O	O
HPV+	B-virus	B-virus
)	O	O
head	O	O
neck	O	O
cancer-specific	O	O
genes	O	O
may	O	O
significant	O	O
HPV-negative	B-virus	B-virus
(	O	O
HPV-	B-virus	B-virus
)	O	O
head	O	O
neck	O	O
cancer	O	O
patients	O	O
.	O	O
		
The	O	O
identified	O	O
HPV	B-virus	B-virus
specific	O	O
gene	O	O
sets	O	O
showed	O	O
good	O	O
performance	O	O
validation	O	O
datasets	O	O
.	O	O
		
The	O	O
HPV+	B-virus	B-virus
head	O	O
neck	O	O
cancer-specific	O	O
gene	O	O
set	O	O
included	O	O
various	O	O
metabolism-related	O	O
pathways	O	O
,	O	O
HPV-	B-virus	B-virus
head	O	O
neck	O	O
cancer-specific	O	O
gene	O	O
set	O	O
included	O	O
several	O	O
pathways	O	O
;	O	O
fibroblast	O	O
,	O	O
collagen	O	O
degradation	O	O
,	O	O
actin-binding	O	O
,	O	O
actin	O	O
cytoskeleton	O	O
.	O	O
