	BIEO	IOB2
There	O	O
considerable	O	O
debate	O	O
within	O	O
literature	O	O
significance	O	O
human	B-virus	B-virus
papilloma	I-virus	I-virus
virus	E-virus	I-virus
head	O	O
neck	O	O
squamous	O	O
cell	O	O
carcinoma	O	O
,	O	O
potential	O	O
influence	O	O
prevention	O	O
,	O	O
diagnosis	O	O
,	O	O
grading	O	O
,	O	O
treatment	O	O
prognosis	O	O
cancers	O	O
.	O	O
		
Cigarette	O	O
smoking	O	O
alcohol	O	O
consumption	O	O
traditionally	O	O
cited	O	O
main	O	O
risk	O	O
factors	O	O
head	O	O
neck	O	O
cancers	O	O
.	O	O
		
However	O	O
,	O	O
human	B-virus	B-virus
papilloma	I-virus	I-virus
virus	E-virus	I-virus
,	O	O
normally	O	O
associated	O	O
cervical	O	O
genital	O	O
carcinomas	O	O
,	O	O
emerged	O	O
possible	O	O
key	O	O
aetiological	O	O
factor	O	O
head	O	O
neck	O	O
squamous	O	O
cell	O	O
carcinoma	O	O
,	O	O
especially	O	O
oropharyngeal	O	O
cancers	O	O
.	O	O
		
These	O	O
cancers	O	O
pose	O	O
significant	O	O
financial	O	O
burden	O	O
health	O	O
resources	O	O
increasing	O	O
incidence	O	O
.	O	O
		
The	O	O
recent	O	O
introduction	O	O
vaccines	O	O
targeted	O	O
human	B-virus	B-virus
papilloma	I-virus	I-virus
virus	I-virus	I-virus
types	I-virus	I-virus
16	E-virus	I-virus
18	E-virus	I-virus
,	O	O
prevent	O	O
cervical	O	O
cancer	O	O
,	O	O
highlighted	O	O
need	O	O
ongoing	O	O
research	O	O
importance	O	O
human	B-virus	B-virus
papilloma	I-virus	I-virus
virus	E-virus	I-virus
head	O	O
neck	O	O
squamous	O	O
cell	O	O
carcinoma	O	O
.	O	O
