token	BIEO	IOB2
Reduced	O	O
engraftment	O	O
HPV	B-virus	B-virus
+	E-virus	I-virus
tumors	O	O
lacking	O	O
PNI	O	O
likely	O	O
results	O	O
selection	O	O
biases	O	O
HNSCC	O	O
PDX	O	O
models	O	O
.	O	O
		
Formation	O	O
EBV	B-virus	B-virus
+	E-virus	I-virus
lymphomas	O	O
NSG	O	O
mice	O	O
reduces	O	O
generation	O	O
HPV	B-virus	B-virus
+	E-virus	I-virus
models	O	O
must	O	O
ruled	O	O
long-term	O	O
use	O	O
PDXs	O	O
.	O	O
		
Nevertheless	O	O
,	O	O
retention	O	O
distinctive	O	O
pathologic	O	O
traits	O	O
viral	O	O
oncogene	O	O
expression	O	O
HPV	B-virus	B-virus
+	E-virus	I-virus
PDXs	O	O
provides	O	O
viable	O	O
vivo	O	O
platform	O	O
basic	O	O
translational	O	O
studies	O	O
well	O	O
resource	O	O
generating	O	O
advanced	O	O
vitro	O	O
models	O	O
.	O	O
