token	BIEO	IOB2
We	O	O
observed	O	O
high	O	O
prevalence	O	O
beta	O	O
human	B-virus	B-virus
papillomavirus	E-virus	I-virus
DNA	O	O
malignant	O	O
tumors	O	O
.	O	O
		
In	O	O
contrast	O	O
,	O	O
polyomavirus	B-virus	B-virus
DNA	O	O
present	O	O
benign	O	O
,	O	O
malignant	O	O
,	O	O
non-tumor	O	O
control	O	O
samples	O	O
.	O	O
		
Most	O	O
striking	O	O
significant	O	O
distribution	O	O
herpesvirus	O	O
DNA	O	O
SGT	O	O
samples	O	O
,	O	O
particular	O	O
high	O	O
prevalence	O	O
Epstein-Barr	B-virus	B-virus
type	O	O
1	O	O
type	O	O
2	O	O
DNA	O	O
Warthin	O	O
's	O	O
tumor	O	O
samples	O	O
.	O	O
