token	BIEO	IOB2
We	O	O
included	O	O
ART-naive	O	O
subjects	O	O
least	O	O
one	O	O
follow-up	O	O
ear	O	O
,	O	O
nose	O	O
,	O	O
throat	O	O
examination	O	O
,	O	O
diagnosed	O	O
lymph	O	O
node	O	O
mycobacterial	O	O
infection	O	O
first	O	O
3	O	O
months	O	O
ART	O	O
initiation	O	O
.	O	O
		
Mycobacterial-associated	O	O
IRIS	O	O
cervical	O	O
lymph	O	O
nodes	O	O
determined	O	O
retrospectively	O	O
clinical	O	O
case	O	O
definition	O	O
medical	O	O
chart	O	O
review	O	O
.	O	O
