token	BIEO	IOB2
HPV	B-virus	B-virus
integration	O	O
cancer-related	O	O
genes	O	O
occurred	O	O
7	O	O
9	O	O
HPV-positive	B-virus	B-virus
cell	O	O
lines	O	O
6	O	O
tumors	O	O
progressed	O	O
.	O	O
		
HPV	B-virus	B-virus
integration	O	O
cancer-related	O	O
genes	O	O
may	O	O
secondary	O	O
carcinogenic	O	O
driver	O	O
HPV-driven	B-virus	B-virus
tumors	O	O
.	O	O
		
©	O	O
2017	O	O
Wiley	O	O
Periodicals	O	O
,	O	O
Inc.	O	O
Head	O	O
Neck	O	O
39	O	O
:	O	O
840-852	O	O
,	O	O
2017	O	O
.	O	O
