token	BIEO	IOB2
Respiratory	B-virus	B-virus
viruses	E-virus	I-virus
frequently	O	O
detected	O	O
association	O	O
chronic	O	O
tonsillar	O	O
hypertrophy	O	O
absence	O	O
symptoms	O	O
acute	O	O
respiratory	O	O
infection	O	O
(	O	O
ARI	O	O
)	O	O
.	O	O
		
The	O	O
present	O	O
analysis	O	O
done	O	O
follow-up	O	O
previous	O	O
clinical	O	O
study	O	O
done	O	O
group	O	O
.	O	O
		
Nasopharyngeal	O	O
washes	O	O
(	O	O
NPWs	O	O
)	O	O
obtained	O	O
83	O	O
120	O	O
individuals	O	O
variable	O	O
times	O	O
post	O	O
adenotonsillectomy	O	O
,	O	O
absence	O	O
ARI	O	O
symptoms	O	O
.	O	O
		
A	O	O
look	O	O
back	O	O
virus	B-virus	B-virus
detection	O	O
results	O	O
NPWs	O	O
83	O	O
individuals	O	O
time	O	O
tonsillectomy	O	O
revealed	O	O
73.5	O	O
%	O	O
(	O	O
61/83	O	O
)	O	O
positive	O	O
one	O	O
viruses	B-virus	B-virus
.	O	O
		
The	O	O
overall	O	O
frequency	O	O
respiratory	B-virus	B-virus
virus	E-virus	I-virus
detection	O	O
post-tonsillectomy	O	O
NPWs	O	O
58.8	O	O
%	O	O
.	O	O
		
Rhinovirus	B-virus	B-virus
(	O	O
RV	B-virus	B-virus
)	O	O
agent	O	O
frequently	O	O
detected	O	O
,	O	O
38	O	O
83	O	O
subjects	O	O
(	O	O
45.8	O	O
%	O	O
)	O	O
,	O	O
followed	O	O
enterovirus	B-virus	B-virus
7	O	O
(	O	O
8.4	O	O
%	O	O
)	O	O
,	O	O
human	B-virus	B-virus
metapneumovirus	E-virus	I-virus
6	O	O
(	O	O
7.2	O	O
%	O	O
)	O	O
,	O	O
human	B-virus	B-virus
respiratory	I-virus	I-virus
syncytial	I-virus	I-virus
virus	E-virus	I-virus
3	O	O
(	O	O
3.6	O	O
%	O	O
)	O	O
human	B-virus	B-virus
coronavirus	E-virus	I-virus
1	O	O
(	O	O
1.2	O	O
%	O	O
)	O	O
.	O	O
		
Remarkably	O	O
,	O	O
detection	O	O
adenovirus	B-virus	B-virus
(	O	O
HAdV	B-virus	B-virus
)	O	O
human	B-virus	B-virus
bocavirus	E-virus	I-virus
(	O	O
HBoV	B-virus	B-virus
)	O	O
asymptomatic	O	O
individuals	O	O
follow-up	O	O
adenotonsillectomy	O	O
.	O	O
		
In	O	O
keeping	O	O
persistence	O	O
respiratory	B-virus	B-virus
DNA	O	O
viruses	E-virus	I-virus
human	O	O
tonsils	O	O
,	O	O
tonsillectomy	O	O
significantly	O	O
reduces	O	O
asymptomatic	O	O
shedding	O	O
HAdV	B-virus	B-virus
HBoV	B-virus	B-virus
NPWs	O	O
.	O	O
