token	BIEO	IOB2
P16	O	O
overexpression	O	O
analyzed	O	O
immunohistochemistry	O	O
.	O	O
		
Tissue	O	O
samples	O	O
leukoplakia	O	O
(	O	O
n	O	O
=	O	O
121	O	O
)	O	O
HNSCC	O	O
(	O	O
n	O	O
=	O	O
427	O	O
)	O	O
saliva	O	O
patients	O	O
HNSCC	O	O
(	O	O
n	O	O
=	O	O
215	O	O
)	O	O
tested	O	O
HPV	B-virus	B-virus
using	O	O
nested	O	O
polymerase	O	O
chain	O	O
reaction	O	O
.	O	O
		
Positive	O	O
samples	O	O
sequenced	O	O
subtyping	O	O
.	O	O
		
The	O	O
presence	O	O
HPV	B-virus	B-virus
E6/E7	O	O
mRNA	O	O
confirmed	O	O
RNA	O	O
situ	O	O
hybridization	O	O
.	O	O
