token	BIEO	IOB2
HPVDetector	B-virus	B-virus
simple	O	O
yet	O	O
precise	O	O
robust	O	O
tool	O	O
detecting	O	O
HPV	B-virus	B-virus
tumour	O	O
samples	O	O
using	O	O
variety	O	O
next-generation	O	O
sequencing	O	O
platforms	O	O
including	O	O
whole	O	O
genome	O	O
,	O	O
whole	O	O
exome	O	O
transcriptome	O	O
.	O	O
		
Two	O	O
different	O	O
modes	O	O
(	O	O
quick	O	O
detection	O	O
integration	O	O
mode	O	O
)	O	O
along	O	O
GUI	O	O
widen	O	O
usability	O	O
HPVDetector	B-virus	B-virus
biologists	O	O
clinicians	O	O
minimal	O	O
computational	O	O
knowledge	O	O
.	O	O
