token	BIEO	IOB2
Forty-six	O	O
OSCC	O	O
patients	O	O
treated	O	O
2007	O	O
2011	O	O
available	O	O
formalin-fixed	O	O
paraffin-embedded	O	O
(	O	O
FFPE	O	O
)	O	O
specimens	O	O
included	O	O
.	O	O
		
Twenty-three	O	O
patients	O	O
positive	O	O
p16	O	O
immunohistochemistry	O	O
(	O	O
IHC	O	O
)	O	O
matched	O	O
23	O	O
patients	O	O
p16-negative	O	O
tumours	O	O
.	O	O
		
Laser	O	O
capture	O	O
microdissection	O	O
FFPE	O	O
OSCC	O	O
tissues	O	O
undertaken	O	O
isolate	O	O
invasive	O	O
tumour	O	O
tissue	O	O
.	O	O
		
DNA	O	O
extracted	O	O
tested	O	O
high-risk	O	O
HPV	B-virus	B-virus
types	O	O
using	O	O
PCR-ELISA	O	O
method	O	O
based	O	O
L1	O	O
SPF10	O	O
consensus	O	O
primers	O	O
,	O	O
real-time	O	O
PCR	O	O
method	O	O
targeting	O	O
HPV-16	B-virus	B-virus
HPV-18	B-virus	B-virus
E6	O	O
region	O	O
.	O	O
		
Genotyping	O	O
HPV-positive	B-virus	B-virus
cases	O	O
performed	O	O
using	O	O
reverse	O	O
line	O	O
blot	O	O
hybridization	O	O
assay	O	O
(	O	O
Inno-LiPA	O	O
)	O	O
.	O	O
		
RNAScope	O	O
