token	BIEO	IOB2
Cases	O	O
human	B-virus	B-virus
papillomavirus	E-virus	I-virus
(	O	O
HPV	B-virus	B-virus
)	O	O
#NAME?	O	O
head	O	O
neck	O	O
cancers	O	O
rapidly	O	O
increasing	O	O
United	O	O
States	O	O
.	O	O
		
Little	O	O
known	O	O
economic	O	O
burden	O	O
cancers	O	O
.	O	O
		
A	O	O
literature	O	O
review	O	O
identified	O	O
7	O	O
studies	O	O
characterized	O	O
aspects	O	O
overall	O	O
economic	O	O
burden	O	O
HPV-associated	B-virus	B-virus
head	O	O
neck	O	O
cancers	O	O
United	O	O
States	O	O
.	O	O
		
Other	O	O
cost	O	O
studies	O	O
detailed	O	O
highlight	O	O
clinical	O	O
reality	O	O
treating	O	O
patients	O	O
.	O	O
		
As	O	O
clinical	O	O
awareness	O	O
role	O	O
HPV	B-virus	B-virus
head	O	O
neck	O	O
cancers	O	O
continues	O	O
,	O	O
economic	O	O
impact	O	O
cancers	O	O
caused	O	O
virus	B-virus	B-virus
implications	O	O
role	O	O
various	O	O
preventive	O	O
measures	O	O
.	O	O
