token	BIEO	IOB2
Plasmablastic	O	O
lymphoma	O	O
(	O	O
PBL	O	O
)	O	O
aggressive	O	O
neoplasm	O	O
exclusively	O	O
occurring	O	O
AIDS	O	O
patients	O	O
.	O	O
		
Recently	O	O
,	O	O
increasing	O	O
cases	O	O
human	B-virus	B-virus
immunodeficiency	I-virus	I-virus
virus	E-virus	I-virus
(	O	O
HIV	B-virus	B-virus
)	O	O
#NAME?	O	O
PBL	O	O
reported	O	O
.	O	O
		
No	O	O
standard	O	O
therapy	O	O
protocol	O	O
currently	O	O
available	O	O
since	O	O
great	O	O
difference	O	O
PBL	O	O
without	O	O
HIV	B-virus	B-virus
infection	O	O
.	O	O
		
Here	O	O
,	O	O
present	O	O
rather	O	O
rare	O	O
case	O	O
HIV-negative	B-virus	B-virus
PBL	O	O
neck	O	O
dramatically	O	O
responded	O	O
radiotherapy	O	O
alone	O	O
.	O	O
		
Our	O	O
case	O	O
highlights	O	O
possibility	O	O
PBL	O	O
neck	O	O
helps	O	O
expand	O	O
understanding	O	O
separate	O	O
lymphoma	O	O
.	O	O
		
The	O	O
related	O	O
literature	O	O
review	O	O
summarized	O	O
clinicopathological	O	O
features	O	O
treatment	O	O
status	O	O
HIV-negative	B-virus	B-virus
PBL	O	O
.	O	O
