token	BIEO	IOB2
There	O	O
government	O	O
licensed	O	O
viral	O	O
gene	O	O
therapy	O	O
products	O	O
currently	O	O
use	O	O
head	O	O
neck	O	O
cancer	O	O
,	O	O
utilised	O	O
conjunction	O	O
established	O	O
treatment	O	O
modalities	O	O
.	O	O
		
The	O	O
viruses	B-virus	B-virus
target	O	O
tumour-associated	O	O
genes	O	O
,	O	O
first	O	O
licensed	B-virus	B-virus
virus	E-virus	I-virus
replacing	O	O
p53	O	O
gene	O	O
function	O	O
,	O	O
frequently	O	O
lost	O	O
tumourigenesis	O	O
.	O	O
		
Oncolytic	B-virus	B-virus
viruses	E-virus	I-virus
selectively	O	O
destroy	O	O
cancer	O	O
cells	O	O
viral	O	O
replication	O	O
armed	O	O
therapeutic	O	O
transgenes	O	O
.	O	O
