token	BIEO	IOB2
We	O	O
aimed	O	O
reveal	O	O
prevalence	O	O
pattern	O	O
human	B-virus	B-virus
papillomavirus	E-virus	I-virus
(	O	O
HPV	B-virus	B-virus
)	O	O
infection	O	O
p53	O	O
mutations	O	O
among	O	O
Japanese	O	O
head	O	O
neck	O	O
squamous	O	O
cell	O	O
carcinoma	O	O
(	O	O
HNSCC	O	O
)	O	O
patients	O	O
relation	O	O
clinicopathological	O	O
parameters	O	O
.	O	O
		
Human	B-virus	B-virus
papillomavirus	E-virus	I-virus
DNA	O	O
p53	O	O
mutations	O	O
examined	O	O
493	O	O
HNSCCs	O	O
subset	O	O
283	O	O
HNSCCs	O	O
.	O	O
		
Oropharyngeal	O	O
carcinoma	O	O
frequently	O	O
HPV-positive	B-virus	B-virus
non-oropharyngeal	O	O
carcinoma	O	O
(	O	O
34.4	O	O
%	O	O
vs	O	O
3.6	O	O
%	O	O
,	O	O
P	O	O
<	O	O
0.001	O	O
)	O	O
,	O	O
HPV16	B-virus	B-virus
accounted	O	O
91.1	O	O
%	O	O
HPV-positive	B-virus	B-virus
tumors	O	O
.	O	O
		
In	O	O
oropharyngeal	O	O
carcinoma	O	O
,	O	O
showed	O	O
increasing	O	O
trend	O	O
HPV	B-virus	B-virus
prevalence	O	O
time	O	O
(	O	O
P	O	O
<	O	O
0.001	O	O
)	O	O
,	O	O
HPV	B-virus	B-virus
infection	O	O
inversely	O	O
correlated	O	O
tobacco	O	O
smoking	O	O
,	O	O
alcohol	O	O
drinking	O	O
,	O	O
p53	O	O
mutations	O	O
,	O	O
disruptive	O	O
mutation	O	O
(	O	O
P	O	O
=	O	O
0.003	O	O
,	O	O
<	O	O
0.001	O	O
,	O	O
<	O	O
0.001	O	O
,	O	O
<	O	O
0.001	O	O
,	O	O
respectively	O	O
)	O	O
.	O	O
		
The	O	O
prevalence	O	O
p53	O	O
mutations	O	O
differed	O	O
significantly	O	O
virus-unrelated	B-virus	B-virus
HNSCC	O	O
virus-related	B-virus	B-virus
HNSCC	O	O
consisting	O	O
nasopharyngeal	O	O
HPV-positive	B-virus	B-virus
oropharyngeal	O	O
carcinomas	O	O
(	O	O
48.3	O	O
%	O	O
vs	O	O
7.1	O	O
%	O	O
,	O	O
P	O	O
<	O	O
0.001	O	O
)	O	O
.	O	O
		
Although	O	O
p53	O	O
mutations	O	O
associated	O	O
tobacco	O	O
smoking	O	O
alcohol	O	O
drinking	O	O
,	O	O
association	O	O
disappeared	O	O
virus-unrelated	B-virus	B-virus
HNSCC	O	O
.	O	O
		
A	O	O
disruptive	O	O
mutation	O	O
never	O	O
found	O	O
virus-related	B-virus	B-virus
HNSCC	O	O
,	O	O
whereas	O	O
independently	O	O
associated	O	O
primary	O	O
site	O	O
,	O	O
oropharynx	O	O
hypopharynx	O	O
(	O	O
P	O	O
=	O	O
0.01	O	O
0.03	O	O
,	O	O
respectively	O	O
)	O	O
,	O	O
virus-unrelated	B-virus	B-virus
HNSCC	O	O
.	O	O
		
Moreover	O	O
,	O	O
virus-unrelated	B-virus	B-virus
HNSCC	O	O
,	O	O
G	O	O
:	O	O
C	O	O
T	O	O
:	O	O
A	O	O
transversions	O	O
frequent	O	O
ever-smokers	O	O
never-smokers	O	O
(	O	O
P	O	O
=	O	O
0.04	O	O
)	O	O
,	O	O
whereas	O	O
G	O	O
:	O	O
C	O	O
A	O	O
:	O	O
T	O	O
transitions	O	O
CpG	O	O
sites	O	O
less	O	O
frequent	O	O
ever-smokers	O	O
never-smokers	O	O
(	O	O
P	O	O
=	O	O
0.04	O	O
)	O	O
.	O	O
		
In	O	O
conclusion	O	O
,	O	O
HNSCC	O	O
etiologically	O	O
classified	O	O
virus-related	B-virus	B-virus
virus-unrelated	B-virus	B-virus
subgroups	O	O
.	O	O
		
In	O	O
virus-related	B-virus	B-virus
HNSCC	O	O
,	O	O
p53	O	O
mutations	O	O
uncommon	O	O
absence	O	O
disruptive	O	O
mutation	O	O
,	O	O
whereas	O	O
virus-unrelated	B-virus	B-virus
HNSCC	O	O
,	O	O
p53	O	O
mutations	O	O
common	O	O
,	O	O
disruptive	O	O
mutagenesis	O	O
p53	O	O
related	O	O
oropharyngeal	O	O
hypopharyngeal	O	O
carcinoma	O	O
.	O	O
