token	BIEO	IOB2
Among	O	O
194	O	O
subjects	O	O
,	O	O
30	O	O
(	O	O
15	O	O
%	O	O
)	O	O
HPV	B-virus	B-virus
positive	O	O
25	O	O
(	O	O
13	O	O
%	O	O
)	O	O
high-risk	B-virus	B-virus
(	O	O
HR	B-virus	B-virus
)	I-virus	I-virus
#NAME?	E-virus	I-virus
baseline	O	O
brushing	O	O
.	O	O
		
At	O	O
12	O	O
months	O	O
HPV	B-virus	B-virus
infection	O	O
cleared	O	O
cases	O	O
.	O	O
		
However	O	O
48	O	O
months	O	O
HPV	B-virus	B-virus
newly	O	O
detected	O	O
33	O	O
%	O	O
subjects	O	O
.	O	O
		
A	O	O
correlation	O	O
time	O	O
spent	O	O
community	O	O
increase	O	O
ratio	O	O
``	O	O
low-risk	B-virus	B-virus
''	I-virus	I-virus
(	I-virus	I-virus
LR	B-virus	B-virus
)	I-virus	I-virus
HPV	E-virus	I-virus
HR-HPV	B-virus	B-virus
observed	O	O
.	O	O
		
HPV	B-virus	B-virus
infection	O	O
associated	O	O
age	O	O
,	O	O
gender	O	O
,	O	O
HIV	B-virus	B-virus
status	O	O
,	O	O
HCV	B-virus	B-virus
,	O	O
alcohol	O	O
and/or	O	O
drug	O	O
exposure	O	O
,	O	O
number	O	O
years	O	O
spent	O	O
community	O	O
,	O	O
sex	O	O
drug-addicts	O	O
condom	O	O
use	O	O
.	O	O
		
Only	O	O
AIDS	O	O
antiretroviral	O	O
treatment	O	O
inversely	O	O
correlated	O	O
risk	O	O
infection	O	O
.	O	O
