token	BIEO	IOB2
Cases	O	O
58	O	O
males	O	O
20	O	O
females	O	O
included	O	O
29	O	O
oral	O	O
cavity	O	O
,	O	O
33	O	O
larynx	O	O
,	O	O
11	O	O
pharynx	O	O
5	O	O
parotid	O	O
gland	O	O
.	O	O
		
HPV	B-virus	B-virus
DNA	O	O
found	O	O
15	O	O
(	O	O
19.23	O	O
%	O	O
)	O	O
tumors	O	O
12	O	O
HPV-16	B-virus	B-virus
,	O	O
2	O	O
HPV-18	B-virus	B-virus
1	O	O
dual	O	O
infection	O	O
HPV-16	B-virus	B-virus
HPV-18	B-virus	B-virus
,	O	O
giving	O	O
HPV-16	B-virus	B-virus
prevalence	O	O
86.7	O	O
%	O	O
.	O	O
		
Higher	O	O
prevalence	O	O
HPV	B-virus	B-virus
DNA	O	O
found	O	O
males	O	O
females	O	O
.	O	O
		
There	O	O
trend	O	O
towards	O	O
subjects	O	O
younger	O	O
58	O	O
years	O	O
likely	O	O
HPV-positive	B-virus	B-virus
tumors.The	O	O
15	O	O
HPV-positive	B-virus	B-virus
cases	O	O
distributed	O	O
location	O	O
8	O	O
33	O	O
(	O	O
24.2	O	O
%	O	O
)	O	O
larynx	O	O
,	O	O
4	O	O
29	O	O
(	O	O
13.8	O	O
%	O	O
)	O	O
oral	O	O
cavity	O	O
,	O	O
2	O	O
11	O	O
(	O	O
18.2	O	O
%	O	O
)	O	O
pharynx	O	O
1	O	O
5	O	O
(	O	O
20	O	O
%	O	O
)	O	O
parotid	O	O
gland	O	O
.	O	O
