token	BIEO	IOB2
Human	B-virus	B-virus
papillomaviruses	E-virus	I-virus
(	O	O
HPV	B-virus	B-virus
)	O	O
require	O	O
activation	O	O
DNA	O	O
damage	O	O
response	O	O
(	O	O
DDR	O	O
)	O	O
order	O	O
undergo	O	O
successful	O	O
life	O	O
cycle	O	O
.	O	O
		
This	O	O
activation	O	O
presents	O	O
challenge	O	O
virus	B-virus	B-virus
infected	O	O
cell	O	O
:	O	O
viral	O	O
host	O	O
replication	O	O
proceed	O	O
presence	O	O
DDR	O	O
ordinarily	O	O
arrests	O	O
replication	O	O
;	O	O
HPV16	B-virus	B-virus
infected	O	O
cells	O	O
retain	O	O
ability	O	O
proliferate	O	O
presence	O	O
DDR	O	O
ordinarily	O	O
arrests	O	O
cell	O	O
cycle	O	O
?	O	O
		
This	O	O
raises	O	O
question	O	O
:	O	O
HPV	B-virus	B-virus
activate	O	O
DDR	O	O
?	O	O
		
The	O	O
answers	O	O
questions	O	O
partially	O	O
understood	O	O
;	O	O
full	O	O
understanding	O	O
could	O	O
identify	O	O
novel	O	O
therapeutic	O	O
strategies	O	O
target	O	O
HPV	B-virus	B-virus
cancers	O	O
.	O	O
		
Here	O	O
,	O	O
propose	O	O
rapid	O	O
replication	O	O
8	O	O
kb	O	O
double	O	O
stranded	O	O
circular	O	O
genome	O	O
infection	O	O
creates	O	O
aberrant	O	O
DNA	O	O
structures	O	O
attract	O	O
activate	O	O
DDR	O	O
proteins	O	O
.	O	O
		
Therefore	O	O
,	O	O
HPV	B-virus	B-virus
replication	O	O
presence	O	O
active	O	O
DDR	O	O
necessity	O	O
successful	O	O
viral	O	O
life	O	O
cycle	O	O
order	O	O
resolve	O	O
DNA	O	O
structures	O	O
viral	O	O
genomes	O	O
;	O	O
without	O	O
active	O	O
DDR	O	O
,	O	O
successful	O	O
replication	O	O
viral	O	O
genome	O	O
would	O	O
proceed	O	O
.	O	O
		
We	O	O
discuss	O	O
essential	O	O
role	O	O
