token	BIEO	IOB2
Thirty-nine	O	O
patients	O	O
included	O	O
,	O	O
36	O	O
(	O	O
90	O	O
%	O	O
)	O	O
underwent	O	O
adjuvant	O	O
therapy	O	O
.	O	O
		
Median	O	O
follow-up	O	O
39	O	O
months	O	O
(	O	O
range	O	O
,	O	O
2-147	O	O
months	O	O
)	O	O
.	O	O
		
Mean	O	O
age	O	O
56	O	O
years	O	O
,	O	O
87	O	O
%	O	O
male	O	O
.	O	O
		
Seventeen	O	O
patients	O	O
(	O	O
44	O	O
%	O	O
)	O	O
underwent	O	O
selective	O	O
neck	O	O
dissection	O	O
,	O	O
whereas	O	O
six	O	O
(	O	O
15	O	O
%	O	O
)	O	O
underwent	O	O
radical	O	O
(	O	O
n	O	O
=	O	O
2	O	O
)	O	O
extended	O	O
radical	O	O
(	O	O
n	O	O
=	O	O
4	O	O
)	O	O
neck	O	O
dissection	O	O
.	O	O
		
Ninety-two	O	O
percent	O	O
extracapsular	O	O
extension	O	O
.	O	O
		
Five-year	O	O
Kaplan-Meier	O	O
estimated	O	O
DSS	O	O
,	O	O
OS	O	O
,	O	O
DFS	O	O
89	O	O
%	O	O
(	O	O
95	O	O
%	O	O
confidence	O	O
interval	O	O
[	O	O
CI	O	O
]	O	O
:	O	O
79	O	O
%	O	O
-99	O	O
%	O	O
)	O	O
,	O	O
87	O	O
%	O	O
(	O	O
95	O	O
%	O	O
CI	O	O
:	O	O
75	O	O
%	O	O
-99	O	O
%	O	O
)	O	O
,	O	O
84	O	O
%	O	O
(	O	O
95	O	O
%	O	O
CI	O	O
:	O	O
72	O	O
%	O	O
-96	O	O
%	O	O
)	O	O
,	O	O
respectively	O	O
.	O	O
		
The	O	O
disease	O	O
recurrence	O	O
rate	O	O
10	O	O
%	O	O
(	O	O
5	O	O
%	O	O
regional	O	O
,	O	O
5	O	O
%	O	O
distant	O	O
metastasis	O	O
)	O	O
.	O	O
		
Patients	O	O
less	O	O
5	O	O
pathologically	O	O
positive	O	O
lymph	O	O
nodes	O	O
(	O	O
P	O	O
=	O	O
0.041	O	O
)	O	O
improved	O	O
DFS	O	O
.	O	O
