token	BIEO	IOB2
Brown	O	O
adipose	O	O
tissue	O	O
constituent	O	O
brown	O	O
adipocytes	O	O
promising	O	O
therapeutic	O	O
target	O	O
metabolic	O	O
disorders	O	O
due	O	O
ability	O	O
dissipate	O	O
energy	O	O
improve	O	O
systemic	O	O
insulin	O	O
sensitivity	O	O
glucose	O	O
homeostasis	O	O
.	O	O
		
The	O	O
molecular	O	O
control	O	O
brown	O	O
adipocyte	O	O
differentiation	O	O
function	O	O
extensively	O	O
studied	O	O
mice	O	O
,	O	O
relatively	O	O
little	O	O
known	O	O
regulatory	O	O
mechanisms	O	O
humans	O	O
,	O	O
part	O	O
due	O	O
lack	O	O
human	O	O
brown	O	O
adipose	O	O
tissue	O	O
derived	O	O
cell	O	O
models	O	O
.	O	O
		
Here	O	O
,	O	O
used	O	O
retrovirus-mediated	O	O
overexpression	O	O
stably	O	O
integrate	O	O
human	O	O
telomerase	O	O
reverse	O	O
transcriptase	O	O
(	O	O
TERT	O	O
)	O	O
stromal-vascular	O	O
cell	O	O
fractions	O	O
deep	O	O
superficial	O	O
human	O	O
neck	O	O
adipose	O	O
tissue	O	O
biopsies	O	O
donor	O	O
.	O	O
		
The	O	O
brown	O	O
white	O	O
pre-adipocyte	O	O
cell	O	O
models	O	O
(	O	O
TERT-hBA	O	O
TERT-hWA	O	O
,	O	O
respectively	O	O
)	O	O
displayed	O	O
stable	O	O
proliferation	O	O
rate	O	O
differentiation	O	O
least	O	O
passage	O	O
20	O	O
.	O	O
		
Mature	O	O
TERT-hBA	O	O
adipocytes	O	O
expressed	O	O
higher	O	O
levels	O	O
thermogenic	O	O
marker	O	O
genes	O	O
displayed	O	O
higher	O	O
maximal	O	O
respiratory	O	O
capacity	O	O
mature	O	O
TERT-hWA	O	O
adipocytes	O	O
.	O	O
		
TERT-hBA	O	O
adipocytes	O	O
UCP1-positive	O	O
responded	O	O
尾-adrenergic	O	O
stimulation	O	O
activating	O	O
PKA-MKK3/6-p38	O	O
MAPK	O	O
signaling	O	O
module	O	O
increasing	O	O
thermogenic	O	O
gene	O	O
expression	O	O
oxygen	O	O
consumption	O	O
.	O	O
		
Mature	O	O
TERT-hWA	O	O
adipocytes	O	O
underwent	O	O
efficient	O	O
rosiglitazone-induced	O	O
'browning	O	O
'	O	O
,	O	O
demonstrated	O	O
strongly	O	O
increased	O	O
expression	O	O
UCP1	O	O
brown	O	O
adipocyte-enriched	O	O
genes	O	O
.	O	O
		
In	O	O
summary	O	O
,	O	O
TERT-hBA	O	O
TERT-hWA	O	O
cell	O	O
models	O	O
represent	O	O
useful	O	O
tools	O	O
obtain	O	O
better	O	O
understanding	O	O
molecular	O	O
control	O	O
human	O	O
brown	O	O
white	O	O
adipocyte	O	O
differentiation	O	O
function	O	O
well	O	O
browning	O	O
human	O	O
white	O	O
adipocytes	O	O
.	O	O
