token	BIEO	IOB2
HPV	B-virus	B-virus
presence	O	O
confirmed	O	O
23/250	O	O
(	O	O
9.2	O	O
%	O	O
)	O	O
OSCC	O	O
cases	O	O
,	O	O
30.4	O	O
%	O	O
HPV	B-virus	B-virus
16	O	O
infection	O	O
,	O	O
17.4	O	O
%	O	O
positive	O	O
HPV	B-virus	B-virus
18	O	O
26.1	O	O
%	O	O
co-infections	O	O
.	O	O
		
HPV	B-virus	B-virus
presence	O	O
significantly	O	O
associated	O	O
male	O	O
gender	O	O
(	O	O
p=0.02	O	O
)	O	O
habit	O	O
pan	O	O
masala	O	O
chewing	O	O
(	O	O
p=0.01	O	O
)	O	O
.	O	O
		
HPV	B-virus	B-virus
positive	O	O
cases	O	O
also	O	O
history	O	O
tobacco	O	O
consumption	O	O
91.3	O	O
%	O	O
cases	O	O
.	O	O
		
p16	O	O
expression	O	O
observed	O	O
39.1	O	O
%	O	O
HPV	B-virus	B-virus
positive	O	O
cases	O	O
significantly	O	O
different	O	O
negative	O	O
cases	O	O
(	O	O
p=0.54	O	O
)	O	O
.	O	O
