token	BIEO	IOB2
Previous	O	O
investigations	O	O
studying	O	O
association	O	O
DNA	B-virus	B-virus
viruses	E-virus	I-virus
salivary	O	O
gland	O	O
tumors	O	O
(	O	O
SGTs	O	O
)	O	O
led	O	O
conflicting	O	O
results	O	O
.	O	O
		
The	O	O
aim	O	O
study	O	O
determine	O	O
prevalence	O	O
different	O	O
DNA	B-virus	B-virus
viruses	E-virus	I-virus
using	O	O
highly	O	O
sensitive	O	O
assay	O	O
multi-center	O	O
series	O	O
100	O	O
fresh	O	O
frozen	O	O
salivary	O	O
gland	O	O
samples	O	O
.	O	O
