token	BIEO	IOB2
Human	B-virus	B-virus
papilloma	I-virus	I-virus
virus	E-virus	I-virus
(	O	O
HPV	B-virus	B-virus
)	O	O
#NAME?	O	O
head	O	O
neck	O	O
carcinoma	O	O
quite	O	O
heterogeneous	O	O
tumors	O	O
arise	O	O
oral	O	O
cavity	O	O
,	O	O
oropharynx	O	O
,	O	O
hypopharynx	O	O
larynx	O	O
.	O	O
		
HPV	B-virus	B-virus
recently	O	O
recognized	O	O
emerging	O	O
risk	O	O
factor	O	O
oropharyngeal	O	O
squamous	O	O
cell	O	O
carcinoma	O	O
(	O	O
OSCC	O	O
)	O	O
.	O	O
		
HPV	B-virus	B-virus
(	I-virus	I-virus
+	I-virus	I-virus
)	E-virus	I-virus
tumors	O	O
represent	O	O
5月20日	O	O
%	O	O
head	O	O
neck	O	O
squamous-cell	O	O
carcinomas	O	O
(	O	O
HNSCCs	O	O
)	O	O
40-90	O	O
%	O	O
arising	O	O
oropharynx	O	O
,	O	O
widely	O	O
variable	O	O
rates	O	O
depending	O	O
geographic	O	O
area	O	O
,	O	O
population	O	O
,	O	O
relative	O	O
prevalence	O	O
environment-related	O	O
SCC	O	O
detection	O	O
assay	O	O
.	O	O
		
Different	O	O
carcinogenic	O	O
mechanisms	O	O
likely	O	O
implicated	O	O
cervical	O	O
oropharyngeal	O	O
carcinogenesis	O	O
.	O	O
		
The	O	O
certain	O	O
carcinogenic	O	O
genotype	O	O
head	O	O
neck	O	O
region	O	O
common	O	O
high-risk	B-virus	B-virus
HPV	E-virus	I-virus
genotype	O	O
,	O	O
HPV-16	B-virus	B-virus
,	O	O
frequently	O	O
detected	O	O
OSCC	O	O
.	O	O
		
A	O	O
combination	O	O
p16INK4A	O	O
expression	O	O
molecular	O	O
detection	O	O
HPV	B-virus	B-virus
DNA	O	O
gold	O	O
standard	O	O
viral	O	O
identification	O	O
tissue	O	O
exfoliated	O	O
cell	O	O
samples	O	O
.	O	O
		
Differences	O	O
biology	O	O
HPV	B-virus	B-virus
(	I-virus	I-virus
+	I-virus	I-virus
)	E-virus	I-virus
HPV	B-virus	B-virus
(	I-virus	I-virus
-	I-virus	I-virus
)	E-virus	I-virus
OSCC	O	O
may	O	O
implications	O	O
management	O	O
patients	O	O
.	O	O
		
New	O	O
immunotherapy	O	O
drugs	O	O
based	O	O
release	O	O
co-inhibitory	O	O
receptors	O	O
,	O	O
cytotoxic	O	O
T-lymphocyte-associated	O	O
antigen	O	O
4	O	O
(	O	O
CTLA-4	O	O
)	O	O
programmed-death	O	O
1	O	O
(	O	O
PD-1	O	O
)	O	O
currently	O	O
emerged	O	O
.	O	O
		
The	O	O
goal	O	O
therapeutic	O	O
cancer	O	O
vaccination	O	O
inculcation	O	O
persistent	O	O
,	O	O
tumor	O	O
antigen-specific	O	O
T	O	O
cell	O	O
response	O	O
kills	O	O
tumor	O	O
cells	O	O
.	O	O
		
The	O	O
efficacy	O	O
current	O	O
HPV	B-virus	B-virus
vaccines	O	O
,	O	O
Cervarix	O	O
Gardasil	O	O
,	O	O
preventing	O	O
HPV-related	B-virus	B-virus
HNSCC	O	O
present	O	O
unknown	O	O
.	O	O
		
Treatment	O	O
de-escalation	O	O
recommended	O	O
current	O	O
management	O	O
HPV-induced	B-virus	B-virus
HNSCCs	O	O
.	O	O
