token	BIEO	IOB2
Our	O	O
results	O	O
show	O	O
low	O	O
prevalence	O	O
active	O	O
HPV-16	B-virus	B-virus
North	O	O
Indian	O	O
HNC	O	O
patients	O	O
.	O	O
		
HPV-16	B-virus	B-virus
E7	O	O
mRNA	O	O
expression	O	O
correlated	O	O
p16	O	O
nuclear	O	O
positivity	O	O
increased	O	O
viral	O	O
load	O	O
.	O	O
		
Therefore	O	O
,	O	O
E7	O	O
mRNA	O	O
expression	O	O
may	O	O
used	O	O
good	O	O
surrogate	O	O
indicator	O	O
active	O	O
form	O	O
HPV-16	B-virus	B-virus
infection	O	O
.	O	O
