token	BIEO	IOB2
Brushings	O	O
tumor	O	O
surface	O	O
compared	O	O
HPV	B-virus	B-virus
DNA	O	O
isolation	O	O
formalin-fixed	O	O
paraffin-embedded	O	O
(	O	O
FFPE	O	O
)	O	O
tumor	O	O
biopsies	O	O
,	O	O
served	O	O
reference	O	O
standard	O	O
.	O	O
		
In	O	O
matrices	O	O
,	O	O
HPV	B-virus	B-virus
DNA	O	O
detected	O	O
using	O	O
commercially	O	O
available	O	O
test	O	O
kit	O	O
.	O	O
		
In	O	O
addition	O	O
,	O	O
p16	O	O
assessed	O	O
tumor	O	O
biopsies	O	O
immunohistochemistry	O	O
(	O	O
IHC	O	O
)	O	O
.	O	O
		
The	O	O
tumors	O	O
considered	O	O
p16	O	O
positive	O	O
70	O	O
%	O	O
cancer	O	O
cells	O	O
expressed	O	O
p16	O	O
.	O	O
