token	BIEO	IOB2
Recent	O	O
studies	O	O
revealed	O	O
important	O	O
intriguing	O	O
role	O	O
human	B-virus	B-virus
papillomavirus	E-virus	I-virus
(	O	O
HPV	B-virus	B-virus
)	O	O
head	O	O
neck	O	O
squamous	O	O
cell	O	O
carcinoma	O	O
(	O	O
HNSCC	O	O
)	O	O
.	O	O
		
There	O	O
indications	O	O
prevalence	O	O
HPV-positive	B-virus	B-virus
HNSCC	O	O
recently	O	O
increased	O	O
,	O	O
genetic	O	O
analyses	O	O
point	O	O
completely	O	O
distinct	O	O
class	O	O
HNSCCs	O	O
.	O	O
		
Most	O	O
studies	O	O
suggest	O	O
patients	O	O
type	O	O
tumour	O	O
better	O	O
prognosis	O	O
argue	O	O
adjusted	O	O
therapeutic	O	O
approach	O	O
needed	O	O
.	O	O
		
One	O	O
crucial	O	O
point	O	O
research	O	O
HNSCC-HPV	B-virus	B-virus
involvement	O	O
often	O	O
neglected	O	O
,	O	O
lack	O	O
standardised	O	O
assay	O	O
detect	O	O
HPV	B-virus	B-virus
.	O	O
		
This	O	O
resulted	O	O
considerable	O	O
variation	O	O
frequency	O	O
HPV-positive	B-virus	B-virus
tumours	O	O
studies	O	O
reported	O	O
thus	O	O
far	O	O
.	O	O
		
Especially	O	O
PCR-based	O	O
tests	O	O
,	O	O
risk	O	O
exists	O	O
assay	O	O
sensitive	O	O
detects	O	O
virus	B-virus	B-virus
without	O	O
implying	O	O
causal	O	O
involvement	O	O
HNSCC	O	O
.	O	O
		
A	O	O
reliable	O	O
algorithm	O	O
detect	O	O
clinically	O	O
relevant	O	O
HPV	B-virus	B-virus
infection	O	O
formalin-fixed	O	O
paraffin	O	O
embedded	O	O
tissue	O	O
recently	O	O
become	O	O
available	O	O
.	O	O
		
Here	O	O
,	O	O
address	O	O
important	O	O
biological	O	O
analytical	O	O
aspects	O	O
HPV	B-virus	B-virus
involved	O	O
development	O	O
HNSCC	O	O
emphasised	O	O
standardised	O	O
HPV	B-virus	B-virus
assay	O	O
prerequisite	O	O
assessing	O	O
clinical	O	O
importance	O	O
HPV	B-virus	B-virus
infection	O	O
HNSCC	O	O
.	O	O
