token	BIEO	IOB2
There	O	O
significant	O	O
burden	O	O
HPV-associated	B-virus	B-virus
HNSCC	O	O
Bangladesh	O	O
,	O	O
particularly	O	O
oropharynx	O	O
also	O	O
oral	O	O
laryngeal	O	O
cancers	O	O
.	O	O
		
Whilst	O	O
combination	O	O
PCR-based	O	O
DNA	O	O
detection	O	O
p16	O	O
IHC	O	O
useful	O	O
,	O	O
latter	O	O
excellent	O	O
specificity	O	O
,	O	O
acceptable	O	O
sensitivity	O	O
good	O	O
predictive	O	O
value	O	O
carriage	O	O
HPV	B-virus	B-virus
population	O	O
used	O	O
prognostic	O	O
evaluation	O	O
treatment	O	O
planning	O	O
HNSCC	O	O
patients	O	O
South	O	O
Asia	O	O
,	O	O
Western	O	O
world	O	O
.	O	O
