token	BIEO	IOB2
DNA	O	O
expressions	O	O
EBV	B-virus	B-virus
,	O	O
HBoV	B-virus	B-virus
,	O	O
polyomaviruses	B-virus	B-virus
KIPyV	B-virus	B-virus
WUPyV	B-virus	B-virus
investigated	O	O
children	O	O
chronic	O	O
tonsillar	O	O
adenoidal	O	O
diseases	O	O
using	O	O
real-time	O	O
polymerase	O	O
chain	O	O
reaction	O	O
.	O	O
		
The	O	O
patients	O	O
grouped	O	O
follows	O	O
:	O	O
adenoid	O	O
,	O	O
recurrent	O	O
tonsillitis	O	O
hypertrophic	O	O
tonsillitis	O	O
group	O	O
.	O	O
		
The	O	O
relationships	O	O
expressions	O	O
viruses	B-virus	B-virus
age	O	O
,	O	O
gender	O	O
,	O	O
recurrent	O	O
infection	O	O
airway	O	O
obstruction	O	O
also	O	O
analyzed	O	O
.	O	O
		
Seasonal	O	O
variations	O	O
rates	O	O
detection	O	O
viruses	O	O
adenoid	O	O
tonsil	O	O
tissues	O	O
also	O	O
investigated	O	O
.	O	O
