token	BIEO	IOB2
Although	O	O
Japan	O	O
non-endemic	O	O
area	O	O
nasopharyngeal	O	O
carcinoma	O	O
(	O	O
NPC	O	O
)	O	O
,	O	O
proportion	O	O
WHO	O	O
type	O	O
I	O	O
NPC	O	O
Japan	O	O
different	O	O
non-endemic	O	O
areas	O	O
North	O	O
America	O	O
Europe	O	O
.	O	O
		
Recently	O	O
,	O	O
said	O	O
Epstein-Barr	B-virus	B-virus
virus	E-virus	I-virus
(	O	O
EBV	B-virus	B-virus
)	O	O
also	O	O
human	B-virus	B-virus
papillomavirus	E-virus	I-virus
(	O	O
HPV	B-virus	B-virus
)	O	O
influence	O	O
NPC	O	O
non-endemic	O	O
areas	O	O
.	O	O
		
The	O	O
aim	O	O
study	O	O
clarify	O	O
influence	O	O
HPV	B-virus	B-virus
NPC	O	O
Japan	O	O
.	O	O
