token	BIEO	IOB2
The	O	O
aim	O	O
study	O	O
identify	O	O
presence	O	O
frequency	O	O
human	B-virus	B-virus
papillomavirus	E-virus	I-virus
(	O	O
HPV	B-virus	B-virus
)	O	O
nucleic	O	O
acid	O	O
p16-positive	O	O
oral	O	O
squamous	O	O
cell	O	O
carcinomas	O	O
(	O	O
OSCCs	O	O
)	O	O
,	O	O
assess	O	O
whether	O	O
virus	B-virus	B-virus
transcriptionally	O	O
active	O	O
assess	O	O
utility	O	O
p16	O	O
overexpression	O	O
surrogate	O	O
marker	O	O
HPV	B-virus	B-virus
OSCC	O	O
.	O	O
