token	BIEO	IOB2
Association	O	O
verrucous	O	O
carcinoma	O	O
(	O	O
VC	O	O
)	O	O
head	O	O
neck	O	O
human	B-virus	B-virus
papillomaviruses	E-virus	I-virus
(	O	O
HPV	B-virus	B-virus
)	O	O
highly	O	O
controversial	O	O
.	O	O
		
Previous	O	O
prevalence	O	O
studies	O	O
focused	O	O
mostly	O	O
α-PV	B-virus	B-virus
,	O	O
little	O	O
known	O	O
PV	B-virus	B-virus
genera	O	O
.	O	O
		
Our	O	O
aim	O	O
investigate	O	O
prevalence	O	O
broad	O	O
spectrum	O	O
HPV	B-virus	B-virus
VC	O	O
head	O	O
neck	O	O
using	O	O
sensitive	O	O
specific	O	O
molecular	O	O
assays	O	O
.	O	O
		
Formalin-fixed	O	O
,	O	O
paraffin-embedded	O	O
samples	O	O
30	O	O
VC	O	O
30	O	O
location-matched	O	O
normal	O	O
tissue	O	O
samples	O	O
analysed	O	O
,	O	O
using	O	O
six	O	O
different	O	O
polymerase	O	O
chain	O	O
reaction-based	O	O
methods	O	O
targeting	O	O
DNA	O	O
least	O	O
87	O	O
HPV	B-virus	B-virus
types	O	O
α-PV	B-virus	B-virus
,	O	O
β-PV	B-virus	B-virus
,	O	O
γ-PV	B-virus	B-virus
μ-PV	B-virus	B-virus
genera	O	O
,	O	O
immunohistochemistry	O	O
p16	O	O
protein	O	O
.	O	O
		
α-PV	B-virus	B-virus
,	O	O
γ-PV	B-virus	B-virus
μ-PV	B-virus	B-virus
detected	O	O
.	O	O
		
β-PV	B-virus	B-virus
DNA	O	O
detected	O	O
5月30日	O	O
VC	O	O
(	O	O
16.7	O	O
%	O	O
)	O	O
18/30	O	O
normal	O	O
tissue	O	O
samples	O	O
(	O	O
60	O	O
%	O	O
)	O	O
:	O	O
HPV-19	B-virus	B-virus
,	O	O
-24	E-virus	I-virus
-36	E-virus	I-virus
identified	O	O
VC	O	O
,	O	O
HPV-5	B-virus	B-virus
,	O	O
-9	E-virus	I-virus
,	O	O
-12	E-virus	I-virus
,	O	O
-23	E-virus	I-virus
,	O	O
-24	E-virus	I-virus
,	O	O
-38	E-virus	I-virus
,	O	O
-47	E-virus	I-virus
,	O	O
-49	E-virus	I-virus
-96	E-virus	I-virus
normal	O	O
tissue	O	O
,	O	O
whereas	O	O
HPV	B-virus	B-virus
type	O	O
determined	O	O
2月5日	O	O
cases	O	O
VC	O	O
6月18日	O	O
normal	O	O
tissue	O	O
samples	O	O
.	O	O
		
p16	O	O
expression	O	O
detected	O	O
subset	O	O
samples	O	O
higher	O	O
VC	O	O
normal	O	O
tissue	O	O
.	O	O
		
However	O	O
,	O	O
reaction	O	O
predominantly	O	O
cytoplasmic	O	O
occasionally	O	O
nuclear	O	O
,	O	O
extent	O	O
staining	O	O
exceed	O	O
75	O	O
%	O	O
.	O	O
		
Our	O	O
results	O	O
indicate	O	O
α-PV	B-virus	B-virus
,	O	O
γ-PV	B-virus	B-virus
μ-PV	O	O
associated	O	O
aetiopathogenesis	O	O
VC	O	O
head	O	O
neck	O	O
.	O	O
		
β-PV	B-virus	B-virus
DNA	O	O
subset	O	O
VC	O	O
normal	O	O
tissue	O	O
might	O	O
reflect	O	O
incidental	O	O
colonization	O	O
,	O	O
potential	O	O
biological	O	O
significance	O	O
needs	O	O
investigation	O	O
.	O	O
