token	BIEO	IOB2
Human	B-virus	B-virus
papillomavirus-related	E-virus	I-virus
oropharyngeal	O	O
squamous	O	O
cell	O	O
carcinoma	O	O
associated	O	O
cystic	O	O
lymph	O	O
nodes	O	O
CT	O	O
favorable	O	O
prognosis	O	O
.	O	O
		
A	O	O
subset	O	O
patients	O	O
aggressive	O	O
disease	O	O
experience	O	O
treatment	O	O
failure	O	O
.	O	O
		
Our	O	O
aim	O	O
determine	O	O
whether	O	O
extent	O	O
cystic	O	O
lymph	O	O
node	O	O
burden	O	O
staging	O	O
CT	O	O
serve	O	O
imaging	O	O
biomarker	O	O
predict	O	O
treatment	O	O
failure	O	O
human	B-virus	B-virus
papillomavirus-related	E-virus	I-virus
oropharyngeal	O	O
squamous	O	O
cell	O	O
carcinoma	O	O
.	O	O
