token	BIEO	IOB2
A	O	O
standardized	O	O
assay	O	O
determine	O	O
HPV	B-virus	B-virus
status	O	O
head	O	O
neck	O	O
squamous	O	O
cell	O	O
carcinoma	O	O
(	O	O
HNSCC	O	O
)	O	O
specimens	O	O
yet	O	O
established	O	O
,	O	O
particularly	O	O
cytologic	O	O
samples	O	O
.	O	O
		
The	O	O
goal	O	O
study	O	O
determine	O	O
whether	O	O
hybrid	O	O
capture-2	O	O
(	O	O
HC-2	O	O
)	O	O
assay	O	O
,	O	O
already	O	O
widely	O	O
used	O	O
detection	O	O
high	B-virus	B-virus
risk	I-virus	I-virus
HPV	E-virus	I-virus
cervical	O	O
brushings	O	O
,	O	O
applicable	O	O
cytologic	O	O
specimens	O	O
obtained	O	O
patients	O	O
suspected	O	O
HNSCCs	O	O
.	O	O
