token	BIEO	IOB2
Cancer	O	O
unknown	O	O
primary	O	O
head	O	O
neck	O	O
challenging	O	O
entity	O	O
oncologist	O	O
.	O	O
		
The	O	O
role	O	O
human	B-virus	B-virus
papilloma	I-virus	I-virus
virus/p16	E-virus	I-virus
carcinogenesis	O	O
prognosis	O	O
well	O	O
established	O	O
certain	O	O
HNSCC	O	O
especially	O	O
oropharynx	O	O
.	O	O
		
In	O	O
case	O	O
occult	O	O
primary	O	O
head	O	O
neck	O	O
role	O	O
HPV/p16	B-virus	B-virus
positivity	O	O
well	O	O
defined	O	O
regarding	O	O
prognosis	O	O
localization	O	O
primary	O	O
.	O	O
		
An	O	O
independent	O	O
review	O	O
PubMed	O	O
ScienceDirect	O	O
database	O	O
performed	O	O
May	O	O
2014	O	O
using	O	O
combinations	O	O
terms	O	O
``	O	O
occult	O	O
primary	O	O
head	O	O
neck	O	O
''	O	O
,	O	O
``	O	O
CUP	O	O
head	O	O
neck	O	O
''	O	O
``	O	O
metastatic	O	O
cervical	O	O
squamous	O	O
cell	O	O
carcinoma	O	O
unknown	O	O
primary	O	O
''	O	O
,	O	O
``	O	O
HPV	B-virus	B-virus
''	O	O
``	O	O
HPV	B-virus	B-virus
head	O	O
neck	O	O
cancer	O	O
''	O	O
.	O	O
		
Literature	O	O
review	O	O
shows	O	O
strong	O	O
association	O	O
HPV/p16	B-virus	B-virus
positivity	O	O
primary	O	O
location	O	O
oropharynx	O	O
patients	O	O
CUP	O	O
head	O	O
neck	O	O
well	O	O
better	O	O
clinical	O	O
outcome	O	O
.	O	O
		
HPV	B-virus	B-virus
positivity	O	O
p16	O	O
overexpression	O	O
could	O	O
used	O	O
surrogate	O	O
markers	O	O
search	O	O
primary	O	O
site	O	O
patients	O	O
CUP	O	O
head	O	O
neck	O	O
therefore	O	O
maybe	O	O
guiding	O	O
treatment	O	O
decisions	O	O
.	O	O
