token	BIEO	IOB2
During	O	O
last	O	O
decades	O	O
,	O	O
phenotypically	O	O
distinct	O	O
type	O	O
head	O	O
neck	O	O
squamous	O	O
cell	O	O
carcinoma	O	O
(	O	O
SCC	O	O
)	O	O
,	O	O
etiologically	O	O
related	O	O
human	B-virus	B-virus
papillomavirus	E-virus	I-virus
(	O	O
HPV	B-virus	B-virus
)	O	O
,	O	O
emerged	O	O
,	O	O
prevalence	O	O
continues	O	O
increase	O	O
.	O	O
		
The	O	O
tumors	O	O
site-specific	O	O
special	O	O
predilection	O	O
oropharynx	O	O
.	O	O
		
They	O	O
morphologically	O	O
molecularly	O	O
distinct	O	O
responsive	O	O
different	O	O
types	O	O
treatment	O	O
modalities	O	O
,	O	O
excellent	O	O
clinical	O	O
outcome	O	O
,	O	O
spite	O	O
early	O	O
lymph	O	O
node	O	O
metastasis	O	O
.	O	O
		
Microscopically	O	O
,	O	O
carcinomas	O	O
nonkeratinizing	O	O
SCCs	O	O
.	O	O
		
More	O	O
recently	O	O
,	O	O
variants	O	O
believed	O	O
etiologically	O	O
related	O	O
HPV	B-virus	B-virus
reported	O	O
.	O	O
		
As	O	O
result	O	O
,	O	O
several	O	O
clinical	O	O
pathologic	O	O
questions	O	O
emerged	O	O
.	O	O
		
Importantly	O	O
,	O	O
whether	O	O
virus	B-virus	B-virus
biologically	O	O
active	O	O
tumors	O	O
involved	O	O
pathogenesis	O	O
,	O	O
second	O	O
,	O	O
clinical	O	O
implications	O	O
regard	O	O
patient	O	O
management	O	O
outcome	O	O
HPV-related	B-virus	B-virus
variants	O	O
.	O	O
		
This	O	O
review	O	O
attempt	O	O
answer	O	O
questions	O	O
based	O	O
information	O	O
derived	O	O
available	O	O
yet	O	O
limited	O	O
number	O	O
publications	O	O
.	O	O
		
The	O	O
variants	O	O
discussed	O	O
include	O	O
nonkeratinizing	O	O
SCC	O	O
(	O	O
NKSCC	O	O
)	O	O
,	O	O
NKSCC	O	O
maturation	O	O
(	O	O
hybrid	O	O
type	O	O
)	O	O
,	O	O
keratinizing	O	O
SCC	O	O
(	O	O
KSSC	O	O
)	O	O
,	O	O
basaloid	O	O
squamous	O	O
carcinoma	O	O
(	O	O
BSCC	O	O
)	O	O
,	O	O
undifferentiated	O	O
carcinoma	O	O
(	O	O
UC	O	O
)	O	O
,	O	O
papillary	O	O
SCC	O	O
(	O	O
PSCC	O	O
)	O	O
,	O	O
small	O	O
cell	O	O
carcinoma	O	O
,	O	O
adenosquamous	O	O
carcinoma	O	O
(	O	O
AdSCC	O	O
)	O	O
,	O	O
spindle	O	O
cell	O	O
(	O	O
sarcomatoid	O	O
)	O	O
carcinoma	O	O
.	O	O
