token	BIEO	IOB2
Incidence	O	O
human	B-virus	B-virus
papillomavirus	E-virus	I-virus
(	O	O
HPV	B-virus	B-virus
)	O	O
#NAME?	O	O
head	O	O
neck	O	O
squamous	O	O
cell	O	O
carcinoma	O	O
(	O	O
HNSCC	O	O
)	O	O
rising	O	O
several	O	O
countries	O	O
.	O	O
		
Intriguingly	O	O
,	O	O
large	O	O
variations	O	O
HPV16	B-virus	B-virus
viral	O	O
load	O	O
different	O	O
proportions	O	O
physical	O	O
viral	O	O
status	O	O
among	O	O
HNSCC	O	O
reported	O	O
.	O	O
		
We	O	O
analysed	O	O
fresh	O	O
biopsies	O	O
275	O	O
HNSCC	O	O
patients	O	O
South	O	O
Swedish	O	O
Health	O	O
Care	O	O
Region	O	O
HPV	B-virus	B-virus
types	O	O
modified	O	O
general	O	O
primer	O	O
PCR	O	O
Luminex	O	O
.	O	O
		
Seventy-eight	O	O
HPV16-positive	B-virus	B-virus
HNSCC	O	O
cases	O	O
investigated	O	O
viral	O	O
DNA	O	O
load	O	O
physical	O	O
status	O	O
using	O	O
quantitative	O	O
PCR	O	O
HPV	B-virus	B-virus
E2	O	O
E7	O	O
genes	O	O
.	O	O
		
Presence	O	O
intact	O	O
E2	O	O
gene	O	O
,	O	O
surrogate	O	O
marker	O	O
episomal	O	O
HPV	B-virus	B-virus
,	O	O
investigated	O	O
conventional	O	O
PCR	O	O
.	O	O
		
Fifteen	O	O
different	O	O
HPV	B-virus	B-virus
types	O	O
detected	O	O
HNSCC	O	O
cases	O	O
HPV16	B-virus	B-virus
present	O	O
74	O	O
%	O	O
HPV-positive	B-virus	B-virus
cases	O	O
.	O	O
		
HPV	B-virus	B-virus
detected	O	O
65	O	O
%	O	O
(	O	O
92/141	O	O
)	O	O
11	O	O
%	O	O
(	O	O
15/134	O	O
)	O	O
oropharyngeal	O	O
non-oropharyngeal	O	O
carcinomas	O	O
,	O	O
respectively	O	O
(	O	O
P	O	O
<	O	O
0.0001	O	O
)	O	O
.	O	O
		
HPV	B-virus	B-virus
detected	O	O
73	O	O
%	O	O
(	O	O
75/103	O	O
)	O	O
tonsillar	O	O
carcinomas	O	O
.	O	O
		
The	O	O
median	O	O
load	O	O
HPV16	B-virus	B-virus
13	O	O
copies	O	O
cell-1	O	O
(	O	O
range	O	O
0.003-1080	O	O
)	O	O
.	O	O
		
Among	O	O
HPV16-positive	B-virus	B-virus
patients	O	O
oropharyngeal	O	O
carcinoma	O	O
,	O	O
metastases	O	O
regional	O	O
lymph	O	O
nodes	O	O
observed	O	O
100	O	O
%	O	O
(	O	O
17/17	O	O
)	O	O
68	O	O
%	O	O
(	O	O
40/58	O	O
)	O	O
<	O	O
1	O	O
HPV16	O	O
copy	O	O
cell-1	O	O
>	O	O
1	O	O
HPV16	B-virus	B-virus
copy	O	O
cell-1	O	O
,	O	O
respectively	O	O
(	O	O
P=0.007	O	O
)	O	O
.	O	O
		
Among	O	O
HPV16	B-virus	B-virus
cases	O	O
,	O	O
purely	O	O
integrated	O	O
HPV16	B-virus	B-virus
found	O	O
6	O	O
%	O	O
,	O	O
whereas	O	O
entirely	O	O
episomal	O	O
mixed	O	O
virus	B-virus	B-virus
detected	O	O
51	O	O
42	O	O
%	O	O
cases	O	O
,	O	O
respectively	O	O
.	O	O
		
Conclusively	O	O
,	O	O
HPV16	B-virus	B-virus
viral	O	O
DNA	O	O
load	O	O
demonstrated	O	O
large	O	O
diversity	O	O
among	O	O
HNSCCs	O	O
.	O	O
		
Although	O	O
integration	O	O
HPV16	B-virus	B-virus
common	O	O
(	O	O
48	O	O
%	O	O
)	O	O
,	O	O
episomal	O	O
HPV16	B-virus	B-virus
salient	O	O
(	O	O
93	O	O
%	O	O
)	O	O
among	O	O
HPV16	B-virus	B-virus
HNSCCs	O	O
.	O	O
		
In	O	O
addition	O	O
,	O	O
low	O	O
amount	O	O
HPV16	O	O
associated	O	O
lymph	O	O
node	O	O
metastases	O	O
among	O	O
oropharyngeal	O	O
carcinomas	O	O
.	O	O
