token	BIEO	IOB2
High	B-virus	B-virus
risk	I-virus	I-virus
Human	I-virus	I-virus
Papilloma	I-virus	I-virus
virus	E-virus	I-virus
(	O	O
HR-HPV	B-virus	B-virus
)	O	O
associated	O	O
oropharyngeal	O	O
cancers	O	O
increase	O	O
.	O	O
		
Although	O	O
,	O	O
scientific	O	O
community	O	O
aware	O	O
importance	O	O
Human	B-virus	B-virus
Papilloma	I-virus	I-virus
Virus	E-virus	I-virus
(	O	O
HPV	B-virus	B-virus
)	O	O
testing	O	O
,	O	O
consensus	O	O
assays	O	O
required	O	O
reliably	O	O
identify	O	O
HR-HPV	B-virus	B-virus
related	O	O
tumors	O	O
.	O	O
		
A	O	O
wide	O	O
range	O	O
methods	O	O
developed	O	O
.	O	O
		
The	O	O
widely	O	O
used	O	O
techniques	O	O
include	O	O
viral	O	O
DNA	O	O
detection	O	O
,	O	O
polymerase	O	O
chain	O	O
reaction	O	O
(	O	O
PCR	O	O
)	O	O
In	O	O
Situ	O	O
Hybridization	O	O
,	O	O
p16	O	O
detected	O	O
immunohistochemistry	O	O
.	O	O
		
However	O	O
,	O	O
tests	O	O
provide	O	O
different	O	O
information	O	O
specific	O	O
limitations	O	O
.	O	O
		
In	O	O
review	O	O
,	O	O
summarize	O	O
different	O	O
techniques	O	O
,	O	O
light	O	O
recent	O	O
literature	O	O
.	O	O
		
p16	O	O
Overexpression	O	O
,	O	O
indirect	O	O
marker	O	O
HPV	B-virus	B-virus
infection	O	O
,	O	O
considered	O	O
many	O	O
head	O	O
neck	O	O
oncologists	O	O
important	O	O
marker	O	O
patient	O	O
stratification	O	O
.	O	O
		
We	O	O
describe	O	O
frequent	O	O
lack	O	O
concordance	O	O
marker	O	O
assays	O	O
possible	O	O
reasons	O	O
.	O	O
		
The	O	O
latest	O	O
developments	O	O
HPV	B-virus	B-virus
testing	O	O
also	O	O
reported	O	O
,	O	O
RNAscope꽓	O	O
HPV	B-virus	B-virus
test	O	O
,	O	O
fit	O	O
existing	O	O
framework	O	O
techniques	O	O
.	O	O
		
HPV	B-virus	B-virus
testing	O	O
must	O	O
considered	O	O
isolation	O	O
,	O	O
important	O	O
interactions	O	O
parameters	O	O
,	O	O
tobacco	O	O
exposure	O	O
.	O	O
		
This	O	O
important	O	O
rapidly	O	O
evolving	O	O
field	O	O
likely	O	O
become	O	O
pivotal	O	O
staging	O	O
choice	O	O
treatment	O	O
oropharyngeal	O	O
carcinoma	O	O
future	O	O
.	O	O
