token	BIEO	IOB2
Real-time	O	O
quantitative	O	O
polymerase	O	O
chain	O	O
reaction	O	O
applied	O	O
detect	O	O
HPV16	B-virus	B-virus
saliva	O	O
DNA	O	O
349	O	O
screening	O	O
subjects	O	O
without	O	O
head	O	O
neck	O	O
cancer	O	O
(	O	O
HNC	O	O
)	O	O
,	O	O
156	O	O
HNC	O	O
,	O	O
19	O	O
controls	O	O
.	O	O
		
Cut	O	O
points	O	O
human	B-virus	B-virus
papilloma	I-virus	I-virus
virus	E-virus	I-virus
(	O	O
HPV	B-virus	B-virus
)	O	O
positivity	O	O
>	O	O
0	O	O
>	O	O
0.001	O	O
copy/cell	O	O
.	O	O
		
Proportions	O	O
compared	O	O
groups	O	O
using	O	O
exact	O	O
		
(	O	O
2	O	O
)	O	O
Fisher	O	O
exact	O	O
tests	O	O
(	O	O
P	O	O
<	O	O
0.05	O	O
)	O	O
.	O	O
