token	BIEO	IOB2
From	O	O
March	O	O
2007	O	O
September	O	O
2010	O	O
subjects	O	O
submitted	O	O
oropharyngeal	O	O
brushing	O	O
saliva	O	O
collection	O	O
baseline	O	O
,	O	O
6	O	O
,	O	O
12	O	O
48	O	O
months	O	O
(	O	O
subjects	O	O
HPV	B-virus	B-virus
positive	O	O
baseline	O	O
)	O	O
.	O	O
		
Samples	O	O
analyzed	O	O
detect	O	O
HPV	B-virus	B-virus
DNA	B-virus	B-virus
virus	E-virus	I-virus
genotypes	O	O
.	O	O
		
The	O	O
correlation	O	O
HPV	B-virus	B-virus
prevalence	O	O
demographic	O	O
,	O	O
behavioral	O	O
immunological	O	O
characteristics	O	O
assessed	O	O
.	O	O
